Disciplina Eletiva,FUNDAMENTOS APLICADOS DA ADMINISTRAÇÃO,Geometria Analítica I
Empreendimentos Empresariais,Fundamentos da Computação,Álbebra Linear
Atividades Complementares,Fundamentos de Desenvolvimento de Software,Cálculo Diferencial e Integral II
Comportamento Organizacional,Prática Profissional,Introdução a Álbebra
Planejamento e Gestão Estratégica de TI,Qualidade de Produto,Circuitos Lógicos
Governança Estratégica em TI,Disciplina Integradora I,Algoritmos e Estrutura de Dados I
Humanismo e Cultura Religiosa,Disciplina Integradora II,Algoritmos e Estruturas de Dados II
Legislação em Informática,Introdução a Sistemas de Informação,Algoritmos e Estruturas de Dados III
Ética e Filosofia da Ciência,Sistemas Operacionais,Software Básico
INFRAESTRUTURA DE TECNOLOGIA DA INFORMAÇÃO,Teoria da Computação,Introdução a Teoria Geral da Administração
Modelagem de Negócio,Cálculo A,Análise de Algoritmos
Interação Humano - Computador,Fundamentos de Programação,Redes de Computadores II
Tópicos Avançados em Gestão de Dados,Engenharia de Software,Projeto de Software
Qualidade de Processo,Lógica para Computação,Construção de Compiladores
Trabalho de Conclusão I,Matemática Discreta, 
 ,Métodos Estatísticos, 
 ,Programação Orientada a Objetos, 
 ,Arquitetura de Computadores, 
 ,Engenharia de Requisitos, 
 ,Laboratório de Banco de Dados, 
 ,Fundamentos de Redes de Computadores, 
 ,Modelagem e Projeto de Banco de Dados, 
 ,Projeto e Desenvolvimento de Software, 
 ,Gerência de Projetos de TI, 
 ,Gerência de Redes de Computadores, 
 ,Inteligência de Negócio, 
 ,Programação de Software Aplicado, 
 ,Sistemas Distribuídos, 
 ,Sistemas de Gerenciamento de Banco de Dados, 
 ,Arquitetura Organizacional Aplicada a SI, 
 ,Avaliação de Desempenho de Sistemas, 
 ,Sistemas de Informação Integrados, 
 ,Auditoria e Segurança de Sistemas de Informação, 
 ,Trabalho de Conclusão II, 
