Disciplina Eletiva,FUNDAMENTOS APLICADOS DA ADMINISTRAÇÃO,CÁLCULO E GEOMETRIA ANALÍTICA I - A
Empreendimentos Empresariais,Fundamentos da Computação,FUNDAMENTOS DE ALGORITMOS
Atividades Complementares,Fundamentos de Desenvolvimento de Software,ÁLGEBRA LINEAR I - A
Comportamento Organizacional,Disciplina Integradora II,TEORIA DOS GRAFOS E ANÁLISE COMBINATÓRIA
Planejamento e Gestão Estratégica de TI,Sistemas Operacionais,PROBABILIDADE E ESTATÍSTICA
Governança Estratégica em TI,Teoria da Computação,SEMÂNTICA FORMAL N
Humanismo e Cultura Religiosa,Cálculo A,TÉCNICAS DE CONSTRUÇÃO DE PROGRAMAS
Prática Profissional,Fundamentos de Programação,EMPREENDIMENTO EM INFORMÁTICA
Qualidade de Produto,Engenharia de Software,ESTRUTURAS DE DADOS
Legislação em Informática,Lógica para Computação,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES II
Ética e Filosofia da Ciência,Matemática Discreta,CIRCUITOS DIGITAIS
Disciplina Integradora I,Métodos Estatísticos,CLASSIFICAÇÃO E PESQUISA DE DADOS
Introdução a Sistemas de Informação,Arquitetura de Computadores,LINGUAGENS FORMAIS E AUTÔMATOS N
INFRAESTRUTURA DE TECNOLOGIA DA INFORMAÇÃO,Engenharia de Requisitos,COMPLEXIDADE DE ALGORITMOS - B
Modelagem de Negócio,Fundamentos de Redes de Computadores,SISTEMAS OPERACIONAIS I N
Programação Orientada a Objetos,Modelagem e Projeto de Banco de Dados,ALGORÍTMOS E PROGRAMAÇÃO - CIC
Interação Humano - Computador,Projeto e Desenvolvimento de Software,FUNDAMENTOS DE PROCESSAMENTO DE IMAGENS
Laboratório de Banco de Dados,Gerência de Projetos de TI,ORGANIZAÇÃO DE COMPUTADORES B
Tópicos Avançados em Gestão de Dados,Gerência de Redes de Computadores,FUNDAMENTOS DE COMPUTAÇÃO GRÁFICA
Trabalho de Conclusão I,Inteligência de Negócio,MODELOS DE LINGUAGEM DE PROGRAMAÇÃO
Trabalho de Conclusão II,Programação de Software Aplicado,OTIMIZAÇÃO COMBINATÓRIA
 ,Sistemas Distribuídos,INTERAÇÃO HOMEM-COMPUTADOR
 ,Sistemas de Gerenciamento de Banco de Dados, 
 ,Arquitetura Organizacional Aplicada a SI, 
 ,Avaliação de Desempenho de Sistemas, 
 ,Sistemas de Informação Integrados, 
 ,Auditoria e Segurança de Sistemas de Informação, 
 ,Qualidade de Processo, 
