Disciplina Eletiva,FUNDAMENTOS APLICADOS DA ADMINISTRAÇÃO,Calculo A
Empreendimentos Empresariais,Fundamentos da Computação,Probabilidade e Estatística
Atividades Complementares,Planejamento e Gestão Estratégica de TI,Geometria Analítica
Comportamento Organizacional,Legislação em Informática,Álgebra Linear
Fundamentos de Desenvolvimento de Software,Ética e Filosofia da Ciência,Circuitos e Técnicas Digitais
Governança Estratégica em TI,Introdução a Sistemas de Informação,Sistemas Digitais
Humanismo e Cultura Religiosa,Sistemas Operacionais,Estruturas de Dados
Prática Profissional,INFRAESTRUTURA DE TECNOLOGIA DA INFORMAÇÃO,Organização de Computadores I
Qualidade de Produto,Teoria da Computação,Sistemas Operacionais I
Disciplina Integradora I,Cálculo A,Grafos
Disciplina Integradora II,Fundamentos de Programação,Paradigmas de Programação
Modelagem de Negócio,Engenharia de Software,Linguagens Formais e Compiladores
Métodos Estatísticos,Lógica para Computação,Sistemas Multimídia
Inteligência de Negócio,Matemática Discreta,Cálculo Numérico para Computação
Arquitetura Organizacional Aplicada a SI,Programação Orientada a Objetos,Redes de Computadores I
Tópicos Avançados em Gestão de Dados,Arquitetura de Computadores,Engenharia de Software II
Avaliação de Desempenho de Sistemas,Engenharia de Requisitos,Modelagem e Simulação
 ,Interação Humano - Computador,Construção de Compiladores
 ,Laboratório de Banco de Dados,Segurança em Computação
 ,Fundamentos de Redes de Computadores,Inteligência Artificial
 ,Modelagem e Projeto de Banco de Dados,Banco de Dados II
 ,Projeto e Desenvolvimento de Software, 
 ,Gerência de Projetos de TI, 
 ,Gerência de Redes de Computadores, 
 ,Programação de Software Aplicado, 
 ,Sistemas Distribuídos, 
 ,Sistemas de Gerenciamento de Banco de Dados, 
 ,Sistemas de Informação Integrados, 
 ,Auditoria e Segurança de Sistemas de Informação, 
 ,Qualidade de Processo, 
 ,Trabalho de Conclusão I, 
 ,Trabalho de Conclusão II, 
