Disciplina Eletiva,FUNDAMENTOS APLICADOS DA ADMINISTRAÇÃO,Algebra 1
Empreendimentos Empresariais,Fundamentos da Computação,Cálculo 2
Atividades Complementares,Fundamentos de Desenvolvimento de Software,Fundamentos Teóricos da Computação
Comportamento Organizacional,Introdução a Sistemas de Informação,INTRODUCAO A ALGEBRA LINEAR
Planejamento e Gestão Estratégica de TI,Sistemas Operacionais,Lógica Computacional 1
Governança Estratégica em TI,Teoria da Computação,Probabilidade e Estatística
Humanismo e Cultura Religiosa,Cálculo A,SOFTWARE BASICO
Prática Profissional,Fundamentos de Programação,Trabalho de Graduação 2
Qualidade de Produto,Engenharia de Software,Autômatos e Computabilidade
Legislação em Informática,Lógica para Computação,Introdução aos Sistemas Computacionais
Ética e Filosofia da Ciência,Programação Orientada a Objetos,LINGUAGENS DE PROGRAMACAO
Disciplina Integradora I,Arquitetura de Computadores,ORGANIZACAO E ARQUITETURA DE COMPUTADORES
Disciplina Integradora II,Interação Humano - Computador,Organização de Arquivos
INFRAESTRUTURA DE TECNOLOGIA DA INFORMAÇÃO,Laboratório de Banco de Dados,Projeto e Análise de Algoritmos
Matemática Discreta,Fundamentos de Redes de Computadores,SISTEMAS DE INFORMACAO
Modelagem de Negócio,Modelagem e Projeto de Banco de Dados,Algoritmos e Programação de Computadores
Métodos Estatísticos,Projeto e Desenvolvimento de Software,CALCULO NUMERICO
Engenharia de Requisitos,Gerência de Redes de Computadores,CIRCUITOS DIGITAIS
Gerência de Projetos de TI,Programação de Software Aplicado,Compiladores
Inteligência de Negócio,Sistemas Distribuídos,INTRODUCAO A INTELIGENCIA ARTIFICIAL
 ,Sistemas de Gerenciamento de Banco de Dados,INTRODUCAO A INTELIGENCIA ARTIFICIAL
 ,Arquitetura Organizacional Aplicada a SI,Metodologia Científica
 ,Tópicos Avançados em Gestão de Dados,Redes de Computadores
 ,Avaliação de Desempenho de Sistemas,Tecnicas de Programação 1
 ,Sistemas de Informação Integrados,Tecnicas de Programação 2
 ,Auditoria e Segurança de Sistemas de Informação, 
 ,Qualidade de Processo, 
 ,Trabalho de Conclusão I, 
 ,Trabalho de Conclusão II, 
