Disciplina Eletiva,FUNDAMENTOS APLICADOS DA ADMINISTRAÇÃO,Geometria Analítica
Empreendimentos Empresariais,Fundamentos da Computação,Lógica Computacional
Atividades Complementares,Fundamentos de Desenvolvimento de Software,Cálculo IV
Comportamento Organizacional,Planejamento e Gestão Estratégica de TI,Projeto e Implementação de Sistemas I 12
Governança Estratégica em TI,Legislação em Informática,Empreendedorismo
Humanismo e Cultura Religiosa,Disciplina Integradora I,Dispositivos e Circuitos Eletrônicos
Prática Profissional,Disciplina Integradora II,Algoritmos I
Qualidade de Produto,Introdução a Sistemas de Informação,Metodologia da Pesquisa Científica
Ética e Filosofia da Ciência,Sistemas Operacionais,Algoritmos II
Matemática Discreta,INFRAESTRUTURA DE TECNOLOGIA DA INFORMAÇÃO,Linguagem de Montagem
Interação Humano - Computador,Teoria da Computação,Laboratório de Circuitos Digitais
Inteligência de Negócio,Cálculo A,Sistemas Operacionais II
Trabalho de Conclusão II,Fundamentos de Programação,Circuitos Digitais
 ,Engenharia de Software,Pesquisa Operacional I
 ,Lógica para Computação,Pesquisa Operacional II
 ,Modelagem de Negócio,Compiladores
 ,Métodos Estatísticos,Computação Gráfica
 ,Programação Orientada a Objetos,Banco de Dados II
 ,Arquitetura de Computadores,Redes de Computadores
 ,Engenharia de Requisitos,Laboratório de Mecânica Aplicada
 ,Laboratório de Banco de Dados, 
 ,Fundamentos de Redes de Computadores, 
 ,Modelagem e Projeto de Banco de Dados, 
 ,Projeto e Desenvolvimento de Software, 
 ,Gerência de Projetos de TI, 
 ,Gerência de Redes de Computadores, 
 ,Programação de Software Aplicado, 
 ,Sistemas Distribuídos, 
 ,Sistemas de Gerenciamento de Banco de Dados, 
 ,Arquitetura Organizacional Aplicada a SI, 
 ,Tópicos Avançados em Gestão de Dados, 
 ,Avaliação de Desempenho de Sistemas, 
 ,Sistemas de Informação Integrados, 
 ,Auditoria e Segurança de Sistemas de Informação, 
 ,Qualidade de Processo, 
 ,Trabalho de Conclusão I, 
