Análise Combinatória,Álgebra Linear,Cálculo I
Lógica Matemática,Cálculo Diferencial e Integral,Cálculo III
Análise de Algoritmos,Equações Diferenciais,Laboratório de Física Geral I
Organização de Arquivos e Dados,Geometria Analítica,Introdução à Ciência de Computação I
Administração,Matemática Discreta,Laboratório de Introdução à Ciência de Computação I
Comunicação e Expressão,Probabilidade e Estatística,Prática em Lógica Digital
Contabilidade e Custos,Física,Introdução à Lógica Digital
Direito e Legislação,Algoritmos e Estruturas de Dados,Eletrônica para Computação
Economia,Arquitetura e Organização de Computadores,Introdução à Ciência de Computação II
Empreendedorismo,Circuitos Digitais,Prática em Sistemas Digitais
Estágio,Fundamentos de Sistemas,Organização de Arquivos
Filosofia,Linguagens de Programação,Programação Orientada a Objetos
Inglês,Sistemas Operacionais,Algoritmos Avançados e Aplicações
Métodos Quantitativos Aplicados à Administração de Empresas,Teoria dos Grafos,Sistemas de Informação
Sociologia,Computadores e Sociedade,Informação Profissional em Ciências da Computação
Psicologia,Informática na Educação,Projeto Supervisionado I
Automação e Controle,Análise de Desempenho,Projeto Supervisionado II
Interação Humano-Computador,Bancos de Dados,Cálculo Numérico
Métodos Formais,Circuitos Integrados,Redes de Computadores
Processamento Digital de Sinais,Compiladores,Introdução ao Desenvolvimento Web
Processamento de Imagens,Computação Gráfica, 
Redes de Computadores,Engenharia de Software, 
Segurança e Auditoria de Sistemas,Inteligência Artificial, 
Sistemas Multimídia,Matemática Computacional, 
Telecomunicações,Modelagem e Simulação, 
Circuitos Eletrônicos,Programação Paralela, 
 ,Sistemas Digitais, 
 ,Sistemas Distribuídos, 
 ,Sistemas Embarcados, 
 ,Tolerância a Falhas, 
