Circuitos Eletrônicos,Algoritmos e Estruturas de Dados,Introdução à Computação
Análise de Algoritmos,Arquitetura e Organização de Computadores,Análise de Algoritmos
Fundamentos de Sistemas,Circuitos Digitais,Modelagem e Simulação
Organização de Arquivos e Dados,Linguagens de Programação,Integração na Universidade e na Profissão
Análise de Desempenho,Sistemas Operacionais,Caminhos no Bacharelado em Ciência da Computação
Circuitos Integrados,Teoria dos Grafos,Fundamentos de Matemática para a Computação
Compiladores,Bancos de Dados,Cálculo Diferencial e Integral I
Computação Gráfica,Engenharia de Software,Funções Diferenciáveis e Séries
Automação e Controle,Matemática Computacional, 
Inteligência Artificial,Sistemas Distribuídos, 
Interação Humano-Computador,Sistemas Embarcados, 
Métodos Formais,Inglês, 
Modelagem e Simulação,Álgebra Linear, 
Processamento Digital de Sinais,Cálculo Diferencial e Integral, 
Processamento de Imagens,Equações Diferenciais, 
Programação Paralela,Geometria Analítica, 
Redes de Computadores,Lógica Matemática, 
Segurança e Auditoria de Sistemas,Matemática Discreta, 
Sistemas Digitais,Probabilidade e Estatística, 
Sistemas Multimídia, , 
Tolerância a Falhas, , 
Telecomunicações, , 
Física, , 
Administração, , 
Computadores e Sociedade, , 
Comunicação e Expressão, , 
Contabilidade e Custos, , 
Direito e Legislação, , 
Economia, , 
Empreendedorismo, , 
Estágio, , 
Filosofia, , 
Informática na Educação, , 
Métodos Quantitativos Aplicados à Administração de Empresas, , 
Sociologia, , 
Psicologia, , 
Análise Combinatória, , 
