Circuitos Eletrônicos,Algoritmos e Estruturas de Dados,SOFTWARE BASICO
Análise de Algoritmos,Arquitetura e Organização de Computadores,SEMANTICA DE LINGUAGENS
Fundamentos de Sistemas,Circuitos Digitais,COMPUTABILIDADE
Circuitos Integrados,Linguagens de Programação,INTRODUCAO A PROGRAMACAO
Computação Gráfica,Organização de Arquivos e Dados,MODELAGEM DE DADOS
Automação e Controle,Sistemas Operacionais,PROGRAMACAO MODULAR
Métodos Formais,Teoria dos Grafos,PROGRAMACAO ORIENTADA OBJETOS
Processamento Digital de Sinais,Análise de Desempenho,MODELAGEM DE SOFTWARE
Processamento de Imagens,Bancos de Dados,TESTE DE SOFTWARE
Segurança e Auditoria de Sistemas,Compiladores,LAB DE MECANICA NEWTONIANA
Sistemas Embarcados,Engenharia de Software,LOGICA PARA COMPUTACAO
Telecomunicações,Inteligência Artificial,O HUMANO E O FENOM RELIGIOSO
Administração,Interação Humano-Computador,ETICA CRISTA
Computadores e Sociedade,Matemática Computacional,ETICA SOCIOAMBIENT DIR HUMANOS
Comunicação e Expressão,Modelagem e Simulação,CALCULO A VARIAS VARIAVEIS I
Contabilidade e Custos,Programação Paralela,PROBABILIDADE E ESTATISTICA
Direito e Legislação,Redes de Computadores, 
Economia,Sistemas Digitais, 
Empreendedorismo,Sistemas Distribuídos, 
Estágio,Sistemas Multimídia, 
Filosofia,Tolerância a Falhas, 
Informática na Educação,Física, 
Inglês,Álgebra Linear, 
Métodos Quantitativos Aplicados à Administração de Empresas,Análise Combinatória, 
Sociologia,Cálculo Diferencial e Integral, 
Psicologia,Equações Diferenciais, 
Matemática Discreta,Geometria Analítica, 
Probabilidade e Estatística,Lógica Matemática, 
