Análise Combinatória,Álgebra Linear,Cálculo B (CC)
Equações Diferenciais,Cálculo Diferencial e Integral,Fundamentos de Programação
Física,Geometria Analítica,Fundamentos do Raciocínio Lógico
Organização de Arquivos e Dados,Lógica Matemática,Introdução à Ciência da Computação
Teoria dos Grafos,Matemática Discreta,Programação Orientada a Objetos
Administração,Probabilidade e Estatística,Algoritmos e Estrutura de Dados II
Computadores e Sociedade,Análise de Algoritmos,Programação Funcional
Comunicação e Expressão,Algoritmos e Estruturas de Dados,Teoria da Computabilidade e Complexidade
Contabilidade e Custos,Arquitetura e Organização de Computadores,Organização e Arquitetura de Computadores II
Direito e Legislação,Circuitos Digitais,Disciplina Integradora I (Lógica e Programação)
Economia,Fundamentos de Sistemas,Projeto e Otimização de Algoritmos
Estágio,Linguagens de Programação,Métodos Formais para Computação
Informática na Educação,Sistemas Operacionais,Humanismo e Cultura Religiosa
Métodos Quantitativos Aplicados à Administração de Empresas,Empreendedorismo,Empreendimentos Empresariais
Sociologia,Filosofia,Programação de Baixo Nível
Psicologia,Inglês,Fundamentos de Bancos de Dados
Circuitos Integrados,Análise de Desempenho,Modelos para Computação Concorrente
Automação e Controle,Bancos de Dados,Disciplina Integradora II (Iniciação Científica)
Métodos Formais,Compiladores,Disciplina Integradora III (Especificação e Construção de Sistemas)
Processamento Digital de Sinais,Computação Gráfica,Laboratório de Sistemas Operacionais
Processamento de Imagens,Engenharia de Software,Introdução à Redes de Computadores
Telecomunicações,Inteligência Artificial,Laboratório de Redes de Computadores
Circuitos Eletrônicos,Interação Humano-Computador,Computação Paralela
 ,Matemática Computacional,Sistemas Inteligentes e Autônomos
 ,Modelagem e Simulação,Sistemas Distribuídos
 ,Programação Paralela,Disciplina Integradora IV - Trabalho de Conclusão
 ,Redes de Computadores, 
 ,Segurança e Auditoria de Sistemas, 
 ,Sistemas Digitais, 
 ,Sistemas Distribuídos, 
 ,Sistemas Embarcados, 
 ,Sistemas Multimídia, 
 ,Tolerância a Falhas, 
