Análise Combinatória,Álgebra Linear,CÁLCULO 1
Equações Diferenciais,Cálculo Diferencial e Integral,LÓGICA MATEMÁTICA
Lógica Matemática,Geometria Analítica,INTRODUÇÃO À COMPUTAÇÃO
Matemática Discreta,Probabilidade e Estatística,PROGRAMAÇÃO DE COMPUTADORES 2 CN
Física,Análise de Algoritmos,LINGUAGENS DE PROGRAMAÇÃO
Fundamentos de Sistemas,Algoritmos e Estruturas de Dados,TEORIA DA COMPUTAÇÃO
Administração,Arquitetura e Organização de Computadores,TÓPICOS 1
Comunicação e Expressão,Circuitos Digitais,EMPREENDEDORISMO
Contabilidade e Custos,Linguagens de Programação,TÓPICOS 2
Economia,Organização de Arquivos e Dados,PROGRAMAÇÃO DE COMPUTADORES 1 CN
Estágio,Sistemas Operacionais,FÍSICA PARA COMPUTAÇÃO
Filosofia,Teoria dos Grafos,PROGRAMAÇÃO ORIENTADA A OBJETOS
Informática na Educação,Computadores e Sociedade,BANCO DE DADOS
Inglês,Direito e Legislação,ENGENHARIA DE SOFTWARE
Métodos Quantitativos Aplicados à Administração de Empresas,Empreendedorismo,REDES DE COMPUTADORES 2
Sociologia,Análise de Desempenho,PROJETO FINAL DE CURSO 1
Psicologia,Bancos de Dados,PROJETO FINAL DE CURSO 2
Circuitos Integrados,Compiladores, 
Automação e Controle,Computação Gráfica, 
Métodos Formais,Engenharia de Software, 
Processamento Digital de Sinais,Inteligência Artificial, 
Processamento de Imagens,Interação Humano-Computador, 
Programação Paralela,Matemática Computacional, 
Circuitos Eletrônicos,Modelagem e Simulação, 
 ,Redes de Computadores, 
 ,Segurança e Auditoria de Sistemas, 
 ,Sistemas Digitais, 
 ,Sistemas Distribuídos, 
 ,Sistemas Embarcados, 
 ,Sistemas Multimídia, 
 ,Tolerância a Falhas, 
 ,Telecomunicações, 
