Álgebra Linear,Análise Combinatória,ESTATIST PROBABILIDADE COMPUTACAO
Equações Diferenciais,Cálculo Diferencial e Integral,LOGICA PARA COMPUTACAO
Geometria Analítica,Matemática Discreta,ALGORITMOS E ESTRUTURAS DE DADOS
Lógica Matemática,Análise de Algoritmos,FISICA PARA COMPUTACAO
Probabilidade e Estatística,Algoritmos e Estruturas de Dados,PARADIGMAS LING.COMPUTACIONAIS
Física,Arquitetura e Organização de Computadores,HISTORIA E FUTURO DA COMPUTACAO
Linguagens de Programação,Circuitos Digitais,METODOL EXPRESSAO TEC-CIENTIFICA
Teoria dos Grafos,Fundamentos de Sistemas,INTRODUCAO A COMPUTACAO
Administração,Organização de Arquivos e Dados,INTERFACES USUARIO-MAQUINA
Comunicação e Expressão,Sistemas Operacionais,INTRODUÇÃO A MULTIMIDIA
Contabilidade e Custos,Computadores e Sociedade,PROJETO DE DESENVOLVIMENTO
Direito e Legislação,Inglês,TEO.IMPLEMEN.LING. COMPUTACIONAIS
Economia,Bancos de Dados,ALGEBRA VET LINEAR P/COMPUTACAO
Empreendedorismo,Engenharia de Software, 
Estágio,Inteligência Artificial, 
Filosofia,Interação Humano-Computador, 
Informática na Educação,Modelagem e Simulação, 
Métodos Quantitativos Aplicados à Administração de Empresas,Processamento de Imagens, 
Sociologia,Programação Paralela, 
Psicologia,Redes de Computadores, 
Análise de Desempenho,Sistemas Digitais, 
Circuitos Integrados,Sistemas Distribuídos, 
Compiladores,Sistemas Embarcados, 
Computação Gráfica,Sistemas Multimídia, 
Automação e Controle, , 
Matemática Computacional, , 
Métodos Formais, , 
Processamento Digital de Sinais, , 
Segurança e Auditoria de Sistemas, , 
Tolerância a Falhas, , 
Telecomunicações, , 
Circuitos Eletrônicos, , 
