Lógica Matemática,Álgebra Linear,Cálculo Diferencial e Integral II
Física,Análise Combinatória,Projetos Digitais e Microprocessadores
Administração,Cálculo Diferencial e Integral,Algoritmos e Estruturas de Dados III
Computadores e Sociedade,Equações Diferenciais,Introdução a Teoria Geral da Administração
Comunicação e Expressão,Geometria Analítica,Introdução a Álbebra
Contabilidade e Custos,Matemática Discreta,Metodologia Científica
Direito e Legislação,Probabilidade e Estatística,Técnicas Alternativas de Programação
Economia,Análise de Algoritmos,Estatística II
Empreendedorismo,Algoritmos e Estruturas de Dados,Inteligência Artificial
Estágio,Arquitetura e Organização de Computadores,Sistemas de Bancos de Dados
Filosofia,Circuitos Digitais, 
Informática na Educação,Fundamentos de Sistemas, 
Inglês,Linguagens de Programação, 
Métodos Quantitativos Aplicados à Administração de Empresas,Organização de Arquivos e Dados, 
Sociologia,Sistemas Operacionais, 
Psicologia,Teoria dos Grafos, 
Análise de Desempenho,Bancos de Dados, 
Circuitos Integrados,Compiladores, 
Matemática Computacional,Computação Gráfica, 
Métodos Formais,Automação e Controle, 
Processamento de Imagens,Engenharia de Software, 
Segurança e Auditoria de Sistemas,Inteligência Artificial, 
Sistemas Multimídia,Interação Humano-Computador, 
Telecomunicações,Modelagem e Simulação, 
Circuitos Eletrônicos,Processamento Digital de Sinais, 
 ,Programação Paralela, 
 ,Redes de Computadores, 
 ,Sistemas Digitais, 
 ,Sistemas Distribuídos, 
 ,Sistemas Embarcados, 
 ,Tolerância a Falhas, 
