Administração,Álgebra Linear,FUNDAMENTOS DE ALGORITMOS
Computadores e Sociedade,Análise Combinatória,CÁLCULO E GEOMETRIA ANALÍTICA II - A
Comunicação e Expressão,Cálculo Diferencial e Integral,LÓGICA PARA COMPUTAÇÃO
Contabilidade e Custos,Equações Diferenciais,SEMÂNTICA FORMAL N
Direito e Legislação,Geometria Analítica,EMPREENDIMENTO EM INFORMÁTICA
Economia,Lógica Matemática,INTRODUÇÃO À ARQUITETURA DE COMPUTADORES
Estágio,Matemática Discreta,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES I
Filosofia,Probabilidade e Estatística,LINGUAGENS FORMAIS E AUTÔMATOS N
Informática na Educação,Empreendedorismo,ALGORÍTMOS E PROGRAMAÇÃO - CIC
Métodos Quantitativos Aplicados à Administração de Empresas,Inglês,MODELOS DE LINGUAGEM DE PROGRAMAÇÃO
Sociologia,Análise de Algoritmos,OTIMIZAÇÃO COMBINATÓRIA
Psicologia,Algoritmos e Estruturas de Dados, 
Circuitos Eletrônicos,Arquitetura e Organização de Computadores, 
Fundamentos de Sistemas,Circuitos Digitais, 
Automação e Controle,Linguagens de Programação, 
Métodos Formais,Organização de Arquivos e Dados, 
Modelagem e Simulação,Sistemas Operacionais, 
Processamento Digital de Sinais,Teoria dos Grafos, 
Segurança e Auditoria de Sistemas,Análise de Desempenho, 
Telecomunicações,Bancos de Dados, 
Física,Circuitos Integrados, 
 ,Compiladores, 
 ,Computação Gráfica, 
 ,Engenharia de Software, 
 ,Inteligência Artificial, 
 ,Interação Humano-Computador, 
 ,Matemática Computacional, 
 ,Processamento de Imagens, 
 ,Programação Paralela, 
 ,Redes de Computadores, 
 ,Sistemas Digitais, 
 ,Sistemas Distribuídos, 
 ,Sistemas Embarcados, 
 ,Sistemas Multimídia, 
 ,Tolerância a Falhas, 
