Física,Álgebra Linear,Calculo A
Fundamentos de Sistemas,Análise Combinatória,Circuitos e Técnicas Digitais
Administração,Cálculo Diferencial e Integral,Programação Orientada a Objetos I
Contabilidade e Custos,Equações Diferenciais,Paradigmas de Programação
Economia,Geometria Analítica,|Ciência, Tecnologia e Sociedade|
Empreendedorismo,Lógica Matemática,Trabalho de Conclusão de Curso II (TCC)
Estágio,Matemática Discreta,Introdução à Computação
Filosofia,Probabilidade e Estatística,Programação Concorrente
Informática na Educação,Análise de Algoritmos,Redes de Computadores I
Inglês,Algoritmos e Estruturas de Dados,Engenharia de Software I
Sociologia,Arquitetura e Organização de Computadores,Banco de Dados I
Psicologia,Circuitos Digitais,Segurança em Computação
Automação e Controle,Linguagens de Programação, 
Processamento Digital de Sinais,Organização de Arquivos e Dados, 
Processamento de Imagens,Sistemas Operacionais, 
Segurança e Auditoria de Sistemas,Teoria dos Grafos, 
Sistemas Digitais,Computadores e Sociedade, 
Telecomunicações,Comunicação e Expressão, 
Circuitos Eletrônicos,Direito e Legislação, 
 ,Métodos Quantitativos Aplicados à Administração de Empresas, 
 ,Análise de Desempenho, 
 ,Bancos de Dados, 
 ,Circuitos Integrados, 
 ,Compiladores, 
 ,Computação Gráfica, 
 ,Engenharia de Software, 
 ,Inteligência Artificial, 
 ,Interação Humano-Computador, 
 ,Matemática Computacional, 
 ,Métodos Formais, 
 ,Modelagem e Simulação, 
 ,Programação Paralela, 
 ,Redes de Computadores, 
 ,Sistemas Distribuídos, 
 ,Sistemas Embarcados, 
 ,Sistemas Multimídia, 
 ,Tolerância a Falhas, 
