Probabilidade e Estatística,Álgebra Linear,Algebra 1
Administração,Análise Combinatória,Probabilidade e Estatística
Computadores e Sociedade,Cálculo Diferencial e Integral,SOFTWARE BASICO
Comunicação e Expressão,Equações Diferenciais,Computação Experimental
Contabilidade e Custos,Geometria Analítica,INFORMATICA E SOCIEDADE
Direito e Legislação,Lógica Matemática,Trabalho de Graduação 1
Economia,Matemática Discreta,Trabalho de Graduação 2
Empreendedorismo,Análise de Algoritmos,LINGUAGENS DE PROGRAMACAO
Estágio,Algoritmos e Estruturas de Dados,Organização de Arquivos
Filosofia,Arquitetura e Organização de Computadores,Algoritmos e Programação de Computadores
Informática na Educação,Fundamentos de Sistemas,CALCULO NUMERICO
Inglês,Linguagens de Programação,CIRCUITOS DIGITAIS
Métodos Quantitativos Aplicados à Administração de Empresas,Organização de Arquivos e Dados,INTRODUCAO A INTELIGENCIA ARTIFICIAL
Sociologia,Sistemas Operacionais,Metodologia Científica
Psicologia,Teoria dos Grafos,Segurança Computacional
Circuitos Eletrônicos,Bancos de Dados,Tecnicas de Programação 1
Circuitos Digitais,Compiladores,Tecnicas de Programação 2
Análise de Desempenho,Engenharia de Software, 
Circuitos Integrados,Inteligência Artificial, 
Computação Gráfica,Matemática Computacional, 
Automação e Controle,Métodos Formais, 
Interação Humano-Computador,Redes de Computadores, 
Modelagem e Simulação,Sistemas Digitais, 
Processamento Digital de Sinais,Sistemas Distribuídos, 
Processamento de Imagens,Sistemas Embarcados, 
Programação Paralela, , 
Segurança e Auditoria de Sistemas, , 
Sistemas Multimídia, , 
Tolerância a Falhas, , 
Telecomunicações, , 
Física, , 
