Análise Combinatória,Álgebra Linear,Cálculo I
Matemática Discreta,Cálculo Diferencial e Integral,Cálculo II
Análise de Algoritmos,Equações Diferenciais,Sistemas Operacionais I
Teoria dos Grafos,Geometria Analítica,Projeto de Redes de Computadores
Administração,Lógica Matemática,Projeto e Implementação de Sistemas II
Computadores e Sociedade,Probabilidade e Estatística,Algoritmos I
Comunicação e Expressão,Física,Metodologia da Pesquisa Científica
Contabilidade e Custos,Algoritmos e Estruturas de Dados,Linguagem de Montagem
Economia,Arquitetura e Organização de Computadores,Laboratório de Circuitos Digitais
Estágio,Circuitos Digitais,Projeto e Implementação de Sistemas I 12
Filosofia,Fundamentos de Sistemas,Pesquisa Operacional II
Informática na Educação,Linguagens de Programação,Banco de Dados I
Inglês,Organização de Arquivos e Dados,Engenharia de Software I
Métodos Quantitativos Aplicados à Administração de Empresas,Sistemas Operacionais, 
Sociologia,Direito e Legislação, 
Psicologia,Empreendedorismo, 
Análise de Desempenho,Bancos de Dados, 
Circuitos Integrados,Compiladores, 
Interação Humano-Computador,Computação Gráfica, 
Métodos Formais,Automação e Controle, 
Processamento Digital de Sinais,Engenharia de Software, 
Processamento de Imagens,Inteligência Artificial, 
Sistemas Multimídia,Matemática Computacional, 
Telecomunicações,Modelagem e Simulação, 
 ,Programação Paralela, 
 ,Redes de Computadores, 
 ,Segurança e Auditoria de Sistemas, 
 ,Sistemas Digitais, 
 ,Sistemas Distribuídos, 
 ,Sistemas Embarcados, 
 ,Tolerância a Falhas, 
 ,Circuitos Eletrônicos, 
