LÓGICA MATEMÁTICA,CÁLCULO 1,Cálculo Diferencial e Integral II
PROBABILIDADE E ESTATÍSTICA,ÁLGEBRA LINEAR,Introdução a Álbebra
TÓPICOS 1,CÁLCULO 2,Metodologia Científica
DIREITO,INTRODUÇÃO À COMPUTAÇÃO,Projetos Digitais e Microprocessadores
COMPUTADOR E SOCIEDADE,PROGRAMAÇÃO DE COMPUTADORES 2 CN,Software Básico
EMPREENDEDORISMO,SISTEMAS DIGITAIS,Introdução a Teoria Geral da Administração
TÓPICOS 2,ARQUITETURA DE COMPUTADORES,Teoria de Sistemas
FÍSICA PARA COMPUTAÇÃO,ESTRUTURAS DE DADOS I,Estatística II
REDES DE COMPUTADORES 2,TEORIA DOS GRAFOS,Introdução à Computação Científica
SISTEMAS DISTRIBUÍDOS,ANÁLISE E PROJETO DE ALGORITMOS,Redes de Computadores II
MULTIMÍDIA,ESTRUTURAS DE DADOS II,Engenharia de Software
 ,LINGUAGENS DE PROGRAMAÇÃO, 
 ,SISTEMAS OPERACIONAIS 1, 
 ,LINGUAGENS FORMAIS E AUTÔMATOS, 
 ,SISTEMAS OPERACIONAIS 2, 
 ,TEORIA DA COMPUTAÇÃO, 
 ,MATEMÁTICA DISCRETA, 
 ,PROGRAMAÇÃO DE COMPUTADORES 1 CN, 
 ,PROGRAMAÇÃO ORIENTADA A OBJETOS, 
 ,BANCO DE DADOS, 
 ,PESQUISA OPERACIONAL, 
 ,ENGENHARIA DE SOFTWARE, 
 ,INTELIGÊNCIA ARTIFICIAL, 
 ,REDES DE COMPUTADORES 1, 
 ,SISTEMAS GERENCIADORES DE BD, 
 ,ENGENHARIA DE REQUISITOS, 
 ,COMPILADORES, 
 ,COMPUTAÇÃO GRÁFICA, 
 ,PROJETO DE SOFTWARE, 
 ,PROJETO FINAL DE CURSO 1, 
 ,PROJETO FINAL DE CURSO 2, 
 ,SEGURANÇA E AUDITORIA DE SISTEMAS, 
