LÓGICA MATEMÁTICA,CÁLCULO 1,FUNDAMENTOS DE ALGORITMOS
TÓPICOS 1,ÁLGEBRA LINEAR,CÁLCULO E GEOMETRIA ANALÍTICA II - A
DIREITO,CÁLCULO 2,LÓGICA PARA COMPUTAÇÃO
COMPUTADOR E SOCIEDADE,PROBABILIDADE E ESTATÍSTICA,SEMÂNTICA FORMAL N
TÓPICOS 2,EMPREENDEDORISMO,TÉCNICAS DE CONSTRUÇÃO DE PROGRAMAS
PROGRAMAÇÃO DE COMPUTADORES 2 CN,INTRODUÇÃO À COMPUTAÇÃO,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES I
FÍSICA PARA COMPUTAÇÃO,SISTEMAS DIGITAIS,TEORIA DA COMPUTAÇÃO N
PESQUISA OPERACIONAL,ARQUITETURA DE COMPUTADORES,SISTEMAS OPERACIONAIS I N
REDES DE COMPUTADORES 2,ESTRUTURAS DE DADOS I,CÁLCULO NUMÉRICO A
PROJETO FINAL DE CURSO 1,TEORIA DOS GRAFOS,FUNDAMENTOS DE PROCESSAMENTO DE IMAGENS
PROJETO FINAL DE CURSO 2,ANÁLISE E PROJETO DE ALGORITMOS,MODELOS DE LINGUAGEM DE PROGRAMAÇÃO
 ,ESTRUTURAS DE DADOS II,OTIMIZAÇÃO COMBINATÓRIA
 ,LINGUAGENS DE PROGRAMAÇÃO, 
 ,SISTEMAS OPERACIONAIS 1, 
 ,LINGUAGENS FORMAIS E AUTÔMATOS, 
 ,SISTEMAS OPERACIONAIS 2, 
 ,TEORIA DA COMPUTAÇÃO, 
 ,MATEMÁTICA DISCRETA, 
 ,PROGRAMAÇÃO DE COMPUTADORES 1 CN, 
 ,PROGRAMAÇÃO ORIENTADA A OBJETOS, 
 ,BANCO DE DADOS, 
 ,ENGENHARIA DE SOFTWARE, 
 ,INTELIGÊNCIA ARTIFICIAL, 
 ,REDES DE COMPUTADORES 1, 
 ,SISTEMAS GERENCIADORES DE BD, 
 ,ENGENHARIA DE REQUISITOS, 
 ,SISTEMAS DISTRIBUÍDOS, 
 ,COMPILADORES, 
 ,COMPUTAÇÃO GRÁFICA, 
 ,PROJETO DE SOFTWARE, 
 ,MULTIMÍDIA, 
 ,SEGURANÇA E AUDITORIA DE SISTEMAS, 
