DIREITO,CÁLCULO 1,Algebra 1
COMPUTADOR E SOCIEDADE,LÓGICA MATEMÁTICA,Cálculo 2
EMPREENDEDORISMO,ÁLGEBRA LINEAR,SOFTWARE BASICO
FÍSICA PARA COMPUTAÇÃO,CÁLCULO 2,INFORMATICA E SOCIEDADE
PESQUISA OPERACIONAL,PROBABILIDADE E ESTATÍSTICA,Trabalho de Graduação 1
REDES DE COMPUTADORES 2,TÓPICOS 1,Trabalho de Graduação 2
SISTEMAS DISTRIBUÍDOS,TÓPICOS 2,Organização de Arquivos
COMPUTAÇÃO GRÁFICA,INTRODUÇÃO À COMPUTAÇÃO,SISTEMAS DE INFORMACAO
PROJETO FINAL DE CURSO 1,PROGRAMAÇÃO DE COMPUTADORES 2 CN,CALCULO NUMERICO
MULTIMÍDIA,SISTEMAS DIGITAIS,INTRODUCAO A INTELIGENCIA ARTIFICIAL
PROJETO FINAL DE CURSO 2,ARQUITETURA DE COMPUTADORES,Metodologia Científica
SEGURANÇA E AUDITORIA DE SISTEMAS,ESTRUTURAS DE DADOS I,Segurança Computacional
 ,TEORIA DOS GRAFOS,Tecnicas de Programação 1
 ,ANÁLISE E PROJETO DE ALGORITMOS,Tecnicas de Programação 2
 ,ESTRUTURAS DE DADOS II, 
 ,LINGUAGENS DE PROGRAMAÇÃO, 
 ,SISTEMAS OPERACIONAIS 1, 
 ,LINGUAGENS FORMAIS E AUTÔMATOS, 
 ,SISTEMAS OPERACIONAIS 2, 
 ,TEORIA DA COMPUTAÇÃO, 
 ,MATEMÁTICA DISCRETA, 
 ,PROGRAMAÇÃO DE COMPUTADORES 1 CN, 
 ,PROGRAMAÇÃO ORIENTADA A OBJETOS, 
 ,BANCO DE DADOS, 
 ,ENGENHARIA DE SOFTWARE, 
 ,INTELIGÊNCIA ARTIFICIAL, 
 ,REDES DE COMPUTADORES 1, 
 ,SISTEMAS GERENCIADORES DE BD, 
 ,ENGENHARIA DE REQUISITOS, 
 ,COMPILADORES, 
 ,PROJETO DE SOFTWARE, 
