TÓPICOS 1,CÁLCULO 1,Geometria Analítica
COMPUTADOR E SOCIEDADE,LÓGICA MATEMÁTICA,Cálculo IV
TÓPICOS 2,ÁLGEBRA LINEAR,Dispositivos e Circuitos Eletrônicos
TEORIA DOS GRAFOS,CÁLCULO 2,Metodologia da Pesquisa Científica
TEORIA DA COMPUTAÇÃO,PROBABILIDADE E ESTATÍSTICA,Linguagem de Montagem
REDES DE COMPUTADORES 2,DIREITO,Laboratório de Circuitos Digitais
MULTIMÍDIA,EMPREENDEDORISMO,Segurança em Sistemas de Informação
SEGURANÇA E AUDITORIA DE SISTEMAS,INTRODUÇÃO À COMPUTAÇÃO,Projeto e Implementação de Sistemas II
 ,PROGRAMAÇÃO DE COMPUTADORES 2 CN,Laboratório de Mecânica Aplicada
 ,SISTEMAS DIGITAIS,Projeto de Redes de Computadores
 ,ARQUITETURA DE COMPUTADORES, 
 ,ESTRUTURAS DE DADOS I, 
 ,ANÁLISE E PROJETO DE ALGORITMOS, 
 ,ESTRUTURAS DE DADOS II, 
 ,LINGUAGENS DE PROGRAMAÇÃO, 
 ,SISTEMAS OPERACIONAIS 1, 
 ,LINGUAGENS FORMAIS E AUTÔMATOS, 
 ,SISTEMAS OPERACIONAIS 2, 
 ,MATEMÁTICA DISCRETA, 
 ,PROGRAMAÇÃO DE COMPUTADORES 1 CN, 
 ,FÍSICA PARA COMPUTAÇÃO, 
 ,PROGRAMAÇÃO ORIENTADA A OBJETOS, 
 ,BANCO DE DADOS, 
 ,PESQUISA OPERACIONAL, 
 ,ENGENHARIA DE SOFTWARE, 
 ,INTELIGÊNCIA ARTIFICIAL, 
 ,REDES DE COMPUTADORES 1, 
 ,SISTEMAS GERENCIADORES DE BD, 
 ,ENGENHARIA DE REQUISITOS, 
 ,SISTEMAS DISTRIBUÍDOS, 
 ,COMPILADORES, 
 ,COMPUTAÇÃO GRÁFICA, 
 ,PROJETO DE SOFTWARE, 
 ,PROJETO FINAL DE CURSO 1, 
 ,PROJETO FINAL DE CURSO 2, 
