Estatística Geral,Cálculo Diferencial e Integral I,Álbebra Linear
Economia A I,Geometria Analítica e Álgebra Linear,Cálculo Diferencial e Integral II
Administração De Recusos Humanos,Cálculo de Várias Variáveis,Introdução a Álbebra
Computadores e Sociedade,Administração da Produção,Metodologia Científica
Fundamentos de Sistemas de Informação,Introdução à Contabilidade,Circuitos Lógicos
Organização e Tratamento da Informação,Administração Financeira,Algoritmos e Estruturas de Dados II
Usuários da Informação,Algoritmos e Estrutura de Dados I,Organização e Arquitetura de Computadores
Monografia em Sistemas de Informação I,Administração TGA,Software Básico
 ,Algoritmos e Estrutura de Dados III,Análise de Algoritmos
 ,Organização de Computadores I,Oficina de Computação
 ,Fundamentos da Teoria da Computação,Sistemas Operacionais
 ,Sistemas Operacionais,Estatística II
 ,Administração de Custos,Introdução à Computação Científica
 ,Matemática Discreta,Engenharia de Requisitos
 ,Algoritmos e Estrutura de Dados II,Redes de Computadores II
 ,Álgebra A,Projeto de Software
 ,Introdução a Banco de Dados,Inteligência Artificial
 ,Engenharia de Software,Construção de Compiladores
 ,Linguagens de Programação, 
 ,Redes de Computadores, 
