Economia A I,Cálculo Diferencial e Integral I,MATEMÁTICA DISCRETA B
Administração De Recusos Humanos,Geometria Analítica e Álgebra Linear,LÓGICA PARA COMPUTAÇÃO
Administração da Produção,Cálculo de Várias Variáveis,SEMÂNTICA FORMAL N
Introdução à Contabilidade,Estatística Geral,TÉCNICAS DE CONSTRUÇÃO DE PROGRAMAS
Administração Financeira,Algoritmos e Estrutura de Dados I,EMPREENDIMENTO EM INFORMÁTICA
Computadores e Sociedade,Fundamentos de Sistemas de Informação,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES I
Administração TGA,Algoritmos e Estrutura de Dados III,ESTRUTURAS DE DADOS
Organização e Tratamento da Informação,Organização de Computadores I,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES II
Administração de Custos,Fundamentos da Teoria da Computação,CIRCUITOS DIGITAIS
Álgebra A,Sistemas Operacionais,LINGUAGENS FORMAIS E AUTÔMATOS N
Usuários da Informação,Matemática Discreta,COMPLEXIDADE DE ALGORITMOS - B
Linguagens de Programação,Algoritmos e Estrutura de Dados II,ALGORÍTMOS E PROGRAMAÇÃO - CIC
 ,Introdução a Banco de Dados,CÁLCULO NUMÉRICO A
 ,Engenharia de Software,FUNDAMENTOS DE BANCO DE DADOS
 ,Redes de Computadores,FUNDAMENTOS DE PROCESSAMENTO DE IMAGENS
 ,Monografia em Sistemas de Informação I,ORGANIZAÇÃO DE COMPUTADORES B
 , ,FUNDAMENTOS DE COMPUTAÇÃO GRÁFICA
 , ,INTELIGÊNCIA ARTIFICIAL
 , ,MODELOS DE LINGUAGEM DE PROGRAMAÇÃO
 , ,OTIMIZAÇÃO COMBINATÓRIA
 , ,COMPILADORES
 , ,INTERAÇÃO HOMEM-COMPUTADOR
 , ,SISTEMAS OPERACIONAIS II N
