Economia A I,Cálculo Diferencial e Integral I,Cálculo I
Administração De Recusos Humanos,Geometria Analítica e Álgebra Linear,Geometria Analítica
Administração da Produção,Cálculo de Várias Variáveis,Lógica Computacional
Introdução à Contabilidade,Estatística Geral,|Direito, Legislação e Ética|
Administração TGA,Administração Financeira,Empreendedorismo
Administração de Custos,Computadores e Sociedade,Dispositivos e Circuitos Eletrônicos
Matemática Discreta,Algoritmos e Estrutura de Dados I,Metodologia da Pesquisa Científica
Álgebra A,Fundamentos de Sistemas de Informação,Linguagem de Montagem
Usuários da Informação,Algoritmos e Estrutura de Dados III,Laboratório de Circuitos Digitais
 ,Organização de Computadores I,Teoria da Computação e Linguagens Formais
 ,Organização e Tratamento da Informação,Circuitos Digitais
 ,Fundamentos da Teoria da Computação,Pesquisa Operacional I
 ,Sistemas Operacionais,Pesquisa Operacional II
 ,Algoritmos e Estrutura de Dados II,Compiladores
 ,Introdução a Banco de Dados,Engenharia de Software I
 ,Engenharia de Software,Microcontroladores
 ,Linguagens de Programação,Computação Gráfica
 ,Redes de Computadores,Banco de Dados II
 ,Monografia em Sistemas de Informação I,Segurança em Sistemas de Informação
 , ,Projeto e Implementação de Sistemas II
 , ,Laboratório de Mecânica Aplicada
 , ,Sistemas Operacionais I
 , ,Projeto de Redes de Computadores
