ESTATIST PROBABILIDADE COMPUTACAO,CALCULO DIFERENCIAL E INTEGRAL 1,CALCULO A VARIAS VARIAVEIS I
FISICA PARA COMPUTACAO,MATEMAT DISCRETA P/COMPUTACAO,PROBABILIDADE E ESTATISTICA
SISTEMAS DIGITAIS,LOGICA PARA COMPUTACAO,EQUACOES DIFER E DE DIFERENCAS
INFORMATICA TEORICA,ALGORITMOS E ESTRUTURAS DE DADOS,Mecânica Newtoniana
PARADIGMAS LING.COMPUTACIONAIS,INFRA-ESTRUTURA DE SOFTWARE,LAB DE MECANICA NEWTONIANA
INFORMATICA E SOCIEDADE,GERENCIAMENTO DADOS E INFORMACAO,INTROD ARQ DE COMPUTADORES
INGLES PARA COMPUTACAO,INTRODUCAO A PROGRAMACAO,PROGRAMACAO II
HISTORIA E FUTURO DA COMPUTACAO,INFRA-ESTRUTURA DE COMUNICACAO,SOFTWARE BASICO
METODOL EXPRESSAO TEC-CIENTIFICA,ENGENHARIA SOFTWARE E SISTEMAS,LING FORMAIS E AUTOMATOS
INTRODUCAO A COMPUTACAO,INTERFACES USUARIO-MAQUINA,SEMANTICA DE LINGUAGENS
INFRA-ESTRUTURA DE HARDWARE,TEO.IMPLEMEN.LING. COMPUTACIONAIS,COMPUTABILIDADE
PROCESSAMENTO GRAFICO,ALGEBRA VET LINEAR P/COMPUTACAO,O HUMANO E O FENOM RELIGIOSO
SISTEMAS INTELIGENTES, ,ETICA CRISTA
INTRODUÇÃO A MULTIMIDIA, ,ETICA SOCIOAMBIENT DIR HUMANOS
PROJETO DE DESENVOLVIMENTO, ,INTR INT HUMANO-COMPUTADOR
 , ,MODELAGEM DE DADOS
 , ,BANCOS DE DADOS
 , ,ENGENHARIA DE REQUISITOS
 , ,ANALISE NUMERICA I
 , ,PROGRAMACAO ORIENTADA OBJETOS
 , ,COMPILADORES
 , ,ESPEC/ANAL FORMAL DE SISTEMAS
 , ,INTELIGENCIA ARTIFICIAL
 , ,TESTE DE SOFTWARE
