ESTATIST PROBABILIDADE COMPUTACAO,CALCULO DIFERENCIAL E INTEGRAL 1,Cálculo B (CC)
FISICA PARA COMPUTACAO,MATEMAT DISCRETA P/COMPUTACAO,Álgebra Linear e Geometria Analítica
SISTEMAS DIGITAIS,LOGICA PARA COMPUTACAO,Probabilidade e Estatística para Computação
INFORMATICA E SOCIEDADE,ALGORITMOS E ESTRUTURAS DE DADOS,Fundamentos de Programação
INGLES PARA COMPUTACAO,INFRA-ESTRUTURA DE SOFTWARE,Fundamentos do Raciocínio Lógico
HISTORIA E FUTURO DA COMPUTACAO,GERENCIAMENTO DADOS E INFORMACAO,Matemática Concreta
INTRODUCAO A COMPUTACAO,INFORMATICA TEORICA,Algoritmos e Estrutura de Dados I
INTRODUÇÃO A MULTIMIDIA,PARADIGMAS LING.COMPUTACIONAIS,Linguagens Formais e Autômatos
ALGEBRA VET LINEAR P/COMPUTACAO,METODOL EXPRESSAO TEC-CIENTIFICA,Organização e Arquitetura de Computadores I
 ,INTRODUCAO A PROGRAMACAO,Programação Funcional
 ,INFRA-ESTRUTURA DE COMUNICACAO,Teoria da Computabilidade e Complexidade
 ,INFRA-ESTRUTURA DE HARDWARE,Organização e Arquitetura de Computadores II
 ,ENGENHARIA SOFTWARE E SISTEMAS,Disciplina Integradora I (Lógica e Programação)
 ,INTERFACES USUARIO-MAQUINA,Projeto e Otimização de Algoritmos
 ,PROCESSAMENTO GRAFICO,Métodos Formais para Computação
 ,SISTEMAS INTELIGENTES,Engenharia de Software Orientada a Modelos
 ,PROJETO DE DESENVOLVIMENTO,Metodologia Científica e Escrita para Computação
 ,TEO.IMPLEMEN.LING. COMPUTACIONAIS,Humanismo e Cultura Religiosa
 , ,Empreendimentos Empresariais
 , ,Ética e Filosofia da Ciência
 , ,Programação de Baixo Nível
 , ,Técnicas de Programação
 , ,Fundamentos de Bancos de Dados
 , ,Modelos para Computação Concorrente
 , ,Métodos Numéricos
 , ,Disciplina Integradora II (Iniciação Científica)
 , ,Disciplina Integradora III (Especificação e Construção de Sistemas)
 , ,Laboratório de Sistemas Operacionais
 , ,Implementação de Sistemas de Bancos de Dados
 , ,Interpretação de Linguagens de Programação
 , ,Laboratório de Redes de Computadores
 , ,Construção de Compiladores
 , ,Simulação e Métodos Analíticos
 , ,Redes de Computadores Avançada
 , ,Sistemas Inteligentes e Autônomos
 , ,Projeto e Desenvolvimento de Jogos
 , ,Sistemas Distribuídos
