INGLES PARA COMPUTACAO,CALCULO DIFERENCIAL E INTEGRAL 1,ÁLGEBRA LINEAR
HISTORIA E FUTURO DA COMPUTACAO,MATEMAT DISCRETA P/COMPUTACAO,CÁLCULO 2
METODOL EXPRESSAO TEC-CIENTIFICA,ESTATIST PROBABILIDADE COMPUTACAO,TÓPICOS 1
ALGEBRA VET LINEAR P/COMPUTACAO,LOGICA PARA COMPUTACAO,DIREITO
FISICA PARA COMPUTACAO,INFORMATICA E SOCIEDADE,EMPREENDEDORISMO
INTRODUCAO A COMPUTACAO,ALGORITMOS E ESTRUTURAS DE DADOS,TÓPICOS 2
INTRODUÇÃO A MULTIMIDIA,SISTEMAS DIGITAIS,INTRODUÇÃO À COMPUTAÇÃO
PROJETO DE DESENVOLVIMENTO,INFRA-ESTRUTURA DE SOFTWARE,PROGRAMAÇÃO DE COMPUTADORES 2 CN
 ,GERENCIAMENTO DADOS E INFORMACAO,ESTRUTURAS DE DADOS I
 ,INFORMATICA TEORICA,TEORIA DOS GRAFOS
 ,PARADIGMAS LING.COMPUTACIONAIS,ESTRUTURAS DE DADOS II
 ,INTRODUCAO A PROGRAMACAO,LINGUAGENS FORMAIS E AUTÔMATOS
 ,INFRA-ESTRUTURA DE COMUNICACAO,SISTEMAS OPERACIONAIS 2
 ,INFRA-ESTRUTURA DE HARDWARE,FÍSICA PARA COMPUTAÇÃO
 ,ENGENHARIA SOFTWARE E SISTEMAS,PROGRAMAÇÃO ORIENTADA A OBJETOS
 ,INTERFACES USUARIO-MAQUINA,BANCO DE DADOS
 ,PROCESSAMENTO GRAFICO,ENGENHARIA DE SOFTWARE
 ,SISTEMAS INTELIGENTES,REDES DE COMPUTADORES 1
 ,TEO.IMPLEMEN.LING. COMPUTACIONAIS,SISTEMAS DISTRIBUÍDOS
 , ,COMPILADORES
 , ,COMPUTAÇÃO GRÁFICA
 , ,PROJETO DE SOFTWARE
 , ,PROJETO FINAL DE CURSO 1
 , ,MULTIMÍDIA
 , ,PROJETO FINAL DE CURSO 2
 , ,SEGURANÇA E AUDITORIA DE SISTEMAS
