LOGICA PARA COMPUTACAO,CALCULO DIFERENCIAL E INTEGRAL 1,Geometria Analítica I
FISICA PARA COMPUTACAO,MATEMAT DISCRETA P/COMPUTACAO,Álbebra Linear
INFORMATICA E SOCIEDADE,ESTATIST PROBABILIDADE COMPUTACAO,Cálculo Diferencial e Integral II
HISTORIA E FUTURO DA COMPUTACAO,ALGORITMOS E ESTRUTURAS DE DADOS,Projetos Digitais e Microprocessadores
METODOL EXPRESSAO TEC-CIENTIFICA,SISTEMAS DIGITAIS,Algoritmos e Estruturas de Dados II
INTRODUCAO A COMPUTACAO,INFRA-ESTRUTURA DE SOFTWARE,Algoritmos e Estruturas de Dados III
SISTEMAS INTELIGENTES,GERENCIAMENTO DADOS E INFORMACAO,Algoritmos e Teoria dos Grafos
INTRODUÇÃO A MULTIMIDIA,INFORMATICA TEORICA,Introdução à Teoria da Computação
ALGEBRA VET LINEAR P/COMPUTACAO,PARADIGMAS LING.COMPUTACIONAIS,Introdução a Teoria Geral da Administração
 ,INGLES PARA COMPUTACAO,Teoria de Sistemas
 ,INTRODUCAO A PROGRAMACAO,Introdução a Álbebra
 ,INFRA-ESTRUTURA DE COMUNICACAO,Técnicas Alternativas de Programação
 ,INFRA-ESTRUTURA DE HARDWARE,Engenharia de Requisitos
 ,ENGENHARIA SOFTWARE E SISTEMAS,Redes de Computadores II
 ,INTERFACES USUARIO-MAQUINA,Projeto de Software
 ,PROCESSAMENTO GRAFICO,Inteligência Artificial
 ,PROJETO DE DESENVOLVIMENTO,Sistemas de Bancos de Dados
 ,TEO.IMPLEMEN.LING. COMPUTACIONAIS,Construção de Compiladores
