ALGEBRA VET LINEAR P/COMPUTACAO,ALGORITMOS E ESTRUTURAS DE DADOS,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES I
FISICA PARA COMPUTACAO,INFRA-ESTRUTURA DE SOFTWARE,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES II
SISTEMAS DIGITAIS,GERENCIAMENTO DADOS E INFORMACAO,CIRCUITOS DIGITAIS
PARADIGMAS LING.COMPUTACIONAIS,INFORMATICA TEORICA,CLASSIFICAÇÃO E PESQUISA DE DADOS
INTRODUCAO A COMPUTACAO,INTRODUCAO A PROGRAMACAO,LINGUAGENS FORMAIS E AUTÔMATOS N
INFRA-ESTRUTURA DE HARDWARE,INFRA-ESTRUTURA DE COMUNICACAO,TEORIA DA COMPUTAÇÃO N
INTERFACES USUARIO-MAQUINA,ENGENHARIA SOFTWARE E SISTEMAS,SISTEMAS OPERACIONAIS I N
HISTORIA E FUTURO DA COMPUTACAO,PROCESSAMENTO GRAFICO,ALGORÍTMOS E PROGRAMAÇÃO - CIC
INTRODUÇÃO A MULTIMIDIA,SISTEMAS INTELIGENTES,CÁLCULO NUMÉRICO A
INFORMATICA E SOCIEDADE,PROJETO DE DESENVOLVIMENTO,FUNDAMENTOS DE BANCO DE DADOS
INGLES PARA COMPUTACAO,TEO.IMPLEMEN.LING. COMPUTACIONAIS,FUNDAMENTOS DE PROCESSAMENTO DE IMAGENS
METODOL EXPRESSAO TEC-CIENTIFICA,MATEMAT DISCRETA P/COMPUTACAO,ORGANIZAÇÃO DE COMPUTADORES B
CALCULO DIFERENCIAL E INTEGRAL 1,ESTATIST PROBABILIDADE COMPUTACAO,MODELOS DE LINGUAGEM DE PROGRAMAÇÃO
 ,LOGICA PARA COMPUTACAO,OTIMIZAÇÃO COMBINATÓRIA
 , ,COMPILADORES
 , ,FUNDAMENTOS DE TOLERÂNCIA A FALHAS
 , ,INTERAÇÃO HOMEM-COMPUTADOR
 , ,EMPREENDIMENTO EM INFORMÁTICA
 , ,CÁLCULO E GEOMETRIA ANALÍTICA I - A
 , ,ÁLGEBRA LINEAR I - A
 , ,CÁLCULO E GEOMETRIA ANALÍTICA II - A
 , ,TEORIA DOS GRAFOS E ANÁLISE COMBINATÓRIA
 , ,SEMÂNTICA FORMAL N
