LOGICA PARA COMPUTACAO,CALCULO DIFERENCIAL E INTEGRAL 1,Algebra 1
INGLES PARA COMPUTACAO,MATEMAT DISCRETA P/COMPUTACAO,Cálculo 2
HISTORIA E FUTURO DA COMPUTACAO,ESTATIST PROBABILIDADE COMPUTACAO,Lógica Computacional 1
METODOL EXPRESSAO TEC-CIENTIFICA,INFORMATICA E SOCIEDADE,SOFTWARE BASICO
FISICA PARA COMPUTACAO,ALGEBRA VET LINEAR P/COMPUTACAO,Trabalho de Graduação 1
INFRA-ESTRUTURA DE SOFTWARE,ALGORITMOS E ESTRUTURAS DE DADOS,Trabalho de Graduação 2
INTRODUCAO A COMPUTACAO,SISTEMAS DIGITAIS,Autômatos e Computabilidade
PROJETO DE DESENVOLVIMENTO,GERENCIAMENTO DADOS E INFORMACAO,Fundamentos de Sistemas Operacionais
 ,INFORMATICA TEORICA,Introdução aos Sistemas Computacionais
 ,PARADIGMAS LING.COMPUTACIONAIS,Organização de Arquivos
 ,INTRODUCAO A PROGRAMACAO,SISTEMAS DE INFORMACAO
 ,INFRA-ESTRUTURA DE COMUNICACAO,Teoria e Aplicação de Grafos
 ,INFRA-ESTRUTURA DE HARDWARE,Algoritmos e Programação de Computadores
 ,ENGENHARIA SOFTWARE E SISTEMAS,BANCOS DE DADOS
 ,INTERFACES USUARIO-MAQUINA,CALCULO NUMERICO
 ,PROCESSAMENTO GRAFICO,Compiladores
 ,SISTEMAS INTELIGENTES,INTRODUCAO A INTELIGENCIA ARTIFICIAL
 ,INTRODUÇÃO A MULTIMIDIA,Metodologia Científica
 ,TEO.IMPLEMEN.LING. COMPUTACIONAIS,Segurança Computacional
 , ,Tecnicas de Programação 1
 , ,Tecnicas de Programação 2
