MATEMAT DISCRETA P/COMPUTACAO,CALCULO DIFERENCIAL E INTEGRAL 1,Cálculo I
INFORMATICA E SOCIEDADE,ESTATIST PROBABILIDADE COMPUTACAO,Geometria Analítica
INGLES PARA COMPUTACAO,LOGICA PARA COMPUTACAO,Álgebra Linear
HISTORIA E FUTURO DA COMPUTACAO,METODOL EXPRESSAO TEC-CIENTIFICA,Cálculo IV
ALGEBRA VET LINEAR P/COMPUTACAO,ALGORITMOS E ESTRUTURAS DE DADOS,|Direito, Legislação e Ética|
FISICA PARA COMPUTACAO,SISTEMAS DIGITAIS,Projeto e Implementação de Sistemas I 12
INTRODUCAO A COMPUTACAO,INFRA-ESTRUTURA DE SOFTWARE,Empreendedorismo
 ,GERENCIAMENTO DADOS E INFORMACAO,Dispositivos e Circuitos Eletrônicos
 ,INFORMATICA TEORICA,Algoritmos II
 ,PARADIGMAS LING.COMPUTACIONAIS,Linguagem de Montagem
 ,INTRODUCAO A PROGRAMACAO,Laboratório de Circuitos Digitais
 ,INFRA-ESTRUTURA DE COMUNICACAO,Teoria da Computação e Linguagens Formais
 ,INFRA-ESTRUTURA DE HARDWARE,Pesquisa Operacional I
 ,ENGENHARIA SOFTWARE E SISTEMAS,Pesquisa Operacional II
 ,INTERFACES USUARIO-MAQUINA,Banco de Dados I
 ,PROCESSAMENTO GRAFICO,Computação Gráfica
 ,SISTEMAS INTELIGENTES,Banco de Dados II
 ,INTRODUÇÃO A MULTIMIDIA,Engenharia de Software II
 ,PROJETO DE DESENVOLVIMENTO,Segurança em Sistemas de Informação
 ,TEO.IMPLEMEN.LING. COMPUTACIONAIS,Projeto e Implementação de Sistemas II
 , ,Laboratório de Mecânica Aplicada
 , ,Sistemas Operacionais I
