INGLÊS PARA COMPUTAÇÃO,CALCULO DIFERENCIAL E INTEGRAL 1,ÁLGEBRA LINEAR
COMPORTAMENTO ORGANIZACIONAL,MATEMÁTICA DISCRETA PARA COMPUTAÇÃO,CÁLCULO 2
CONTABILIDADE DE CUSTOS E GERENCIAL,ESTATÍSTICA E PROBABILIDADE PARA COMPUTAÇÃO,TÓPICOS 1
COMUNICAÇÃO TÉCNICA E CIENTÍFICA,LÓGICA PARA COMPUTAÇÃO,COMPUTADOR E SOCIEDADE
ECONOMIA DAS EMPRESAS,ADMINISTRAÇÃO CONTEMPORÂNEA,TÓPICOS 2
ESTÁGIO SUPERVISIONADO,INTRODUÇÃO AOS SISTEMAS DE INFORMAÇÃO,PROGRAMAÇÃO DE COMPUTADORES 2 CN
VIABILIDADE ECONÔMICO-FINANCEIRA DE PROJETOS DE SI,PENSAMENTO SISTÊMICO,SISTEMAS DIGITAIS
GESTÃO DE PESSOAS E EQUIPES,TRABALHO DE CONCLUSÃO DE CURSO EM SISTEMAS DE INFORMAÇÃO,ARQUITETURA DE COMPUTADORES
GESTÃO DE PROCESSOS DE TI,ADMINISTRAÇÃO DE SISTEMAS,ESTRUTURAS DE DADOS I
INTRODUÇÃO A LIBRAS,DIREITO E ÉTICA EM INFORMÁTICA,TEORIA DOS GRAFOS
SEMINÁRIO EM SI 1,PROGRAMAÇÃO 1,SISTEMAS OPERACIONAIS 1
SEMINÁRIO EM SI 2,ORGANIZAÇÃO DE COMPUTADORES E SISTEMAS,LINGUAGENS FORMAIS E AUTÔMATOS
TÓPICOS AVANÇADOS EM SI 1,SISTEMAS DE GESTÃO EMPRESARIAL,SISTEMAS OPERACIONAIS 2
INOVAÇÃO EM SI,SISTEMAS DE APOIO À DECISÃO,TEORIA DA COMPUTAÇÃO
MARKETING EMPRESARIAL,ALGORITMOS E ESTRUTURAS DE DADOS,PROGRAMAÇÃO DE COMPUTADORES 1 CN
SEMINÁRIO EM SI 3,REDES DE COMPUTADORES,FÍSICA PARA COMPUTAÇÃO
SEMINÁRIO EM SI 4,BANCO DE DADOS,PROGRAMAÇÃO ORIENTADA A OBJETOS
TÓPICOS AVANÇADOS EM SI 3,ENGENHARIA DE SOFTWARE,REDES DE COMPUTADORES 2
TÓPICOS AVANÇADOS EM SI 4,GESTÃO DE PROCESSOS DE NEGÓCIO,SISTEMAS DISTRIBUÍDOS
EMPREENDIMENTOS EM INFORMÁTICA,PLANEJAMENTO E GERENCIAMENTO DE PROJETOS,COMPILADORES
SEMINÁRIO EM SI 5,GESTÃO DA INFORMAÇÃO E DO CONHECIMENTO,COMPUTAÇÃO GRÁFICA
SEMINÁRIO EM SI 6,ADMINISTRAÇÃO DE BANCO DE DADOS,PROJETO FINAL DE CURSO 1
TÓPICOS AVANÇADOS EM SI 5,PROGRAMAÇÃO 2,PROJETO FINAL DE CURSO 2
TÓPICOS AVANÇADOS EM SI 6,PROCESSOS DE SOFTWARE,SEGURANÇA E AUDITORIA DE SISTEMAS
FUNDAMENTOS DE SISTEMAS DE INFORMAÇÃO,PROGRAMAÇÃO 3, 
GESTÃO DA PRODUÇÃO,ESTRATÉGIA E PLANEJAMENTO, 
ANÁLISE DAS ORGANIZACOES,ENGENHARIA DE REQUISITOS, 
INTERAÇÃO HUMANO-COMPUTADOR,TESTE DE VALIDAÇÃO DE SOFTWARE, 
TÓPICOS AVANÇADOS EM SI 2,INTELIGÊNCIA ARTIFICIAL, 
AVALIAÇÃO DE DESEMPENHO DE SISTEMAS,SISTEMAS MULTIMÍDIA, 
TENDÊNCIAS E DESAFIOS EM SISTEMAS DE INFORMAÇÃO, , 
LOGÍSTICA, , 
