ADMINISTRAÇÃO CONTEMPORÂNEA,CALCULO DIFERENCIAL E INTEGRAL 1,METODOL EXPRESSAO TEC-CIENTIFICA
COMPORTAMENTO ORGANIZACIONAL,MATEMÁTICA DISCRETA PARA COMPUTAÇÃO,ALGEBRA VET LINEAR P/COMPUTACAO
CONTABILIDADE DE CUSTOS E GERENCIAL,ESTATÍSTICA E PROBABILIDADE PARA COMPUTAÇÃO,ALGORITMOS E ESTRUTURAS DE DADOS
COMUNICAÇÃO TÉCNICA E CIENTÍFICA,LÓGICA PARA COMPUTAÇÃO,FISICA PARA COMPUTACAO
ECONOMIA DAS EMPRESAS,INTRODUÇÃO AOS SISTEMAS DE INFORMAÇÃO,SISTEMAS DIGITAIS
VIABILIDADE ECONÔMICO-FINANCEIRA DE PROJETOS DE SI,INGLÊS PARA COMPUTAÇÃO,INFORMATICA TEORICA
GESTÃO DE PESSOAS E EQUIPES,ESTÁGIO SUPERVISIONADO,PARADIGMAS LING.COMPUTACIONAIS
INTRODUÇÃO A LIBRAS,GESTÃO DE PROCESSOS DE TI,INTRODUCAO A COMPUTACAO
SEMINÁRIO EM SI 1,TÓPICOS AVANÇADOS EM SI 1,INTERFACES USUARIO-MAQUINA
SEMINÁRIO EM SI 2,TÓPICOS AVANÇADOS EM SI 3,PROCESSAMENTO GRAFICO
INOVAÇÃO EM SI,TÓPICOS AVANÇADOS EM SI 4,TEO.IMPLEMEN.LING. COMPUTACIONAIS
MARKETING EMPRESARIAL,TRABALHO DE CONCLUSÃO DE CURSO EM SISTEMAS DE INFORMAÇÃO, 
PENSAMENTO SISTÊMICO,ADMINISTRAÇÃO DE SISTEMAS, 
SEMINÁRIO EM SI 3,DIREITO E ÉTICA EM INFORMÁTICA, 
SEMINÁRIO EM SI 4,TÓPICOS AVANÇADOS EM SI 5, 
EMPREENDIMENTOS EM INFORMÁTICA,TÓPICOS AVANÇADOS EM SI 6, 
SEMINÁRIO EM SI 5,PROGRAMAÇÃO 1, 
SEMINÁRIO EM SI 6,ORGANIZAÇÃO DE COMPUTADORES E SISTEMAS, 
FUNDAMENTOS DE SISTEMAS DE INFORMAÇÃO,SISTEMAS DE GESTÃO EMPRESARIAL, 
GESTÃO DA PRODUÇÃO,SISTEMAS DE APOIO À DECISÃO, 
ANÁLISE DAS ORGANIZACOES,ALGORITMOS E ESTRUTURAS DE DADOS, 
REDES DE COMPUTADORES,ENGENHARIA DE SOFTWARE, 
BANCO DE DADOS,PLANEJAMENTO E GERENCIAMENTO DE PROJETOS, 
GESTÃO DE PROCESSOS DE NEGÓCIO,GESTÃO DA INFORMAÇÃO E DO CONHECIMENTO, 
ADMINISTRAÇÃO DE BANCO DE DADOS,PROGRAMAÇÃO 2, 
INTERAÇÃO HUMANO-COMPUTADOR,PROCESSOS DE SOFTWARE, 
AVALIAÇÃO DE DESEMPENHO DE SISTEMAS,PROGRAMAÇÃO 3, 
LOGÍSTICA,TÓPICOS AVANÇADOS EM SI 2, 
 ,ESTRATÉGIA E PLANEJAMENTO, 
 ,ENGENHARIA DE REQUISITOS, 
 ,TESTE DE VALIDAÇÃO DE SOFTWARE, 
 ,TENDÊNCIAS E DESAFIOS EM SISTEMAS DE INFORMAÇÃO, 
 ,INTELIGÊNCIA ARTIFICIAL, 
 ,SISTEMAS MULTIMÍDIA, 
