INTRODUÇÃO AOS SISTEMAS DE INFORMAÇÃO,CALCULO DIFERENCIAL E INTEGRAL 1,Geometria Analítica I
COMPORTAMENTO ORGANIZACIONAL,MATEMÁTICA DISCRETA PARA COMPUTAÇÃO,Álbebra Linear
CONTABILIDADE DE CUSTOS E GERENCIAL,ESTATÍSTICA E PROBABILIDADE PARA COMPUTAÇÃO,Cálculo Diferencial e Integral II
COMUNICAÇÃO TÉCNICA E CIENTÍFICA,LÓGICA PARA COMPUTAÇÃO,Introdução a Álbebra
ESTÁGIO SUPERVISIONADO,ADMINISTRAÇÃO CONTEMPORÂNEA,Circuitos Lógicos
VIABILIDADE ECONÔMICO-FINANCEIRA DE PROJETOS DE SI,INGLÊS PARA COMPUTAÇÃO,Projetos Digitais e Microprocessadores
GESTÃO DE PESSOAS E EQUIPES,ECONOMIA DAS EMPRESAS,Algoritmos e Estruturas de Dados II
GESTÃO DE PROCESSOS DE TI,PENSAMENTO SISTÊMICO,Organização e Arquitetura de Computadores
INTRODUÇÃO A LIBRAS,TRABALHO DE CONCLUSÃO DE CURSO EM SISTEMAS DE INFORMAÇÃO,Algoritmos e Estruturas de Dados III
SEMINÁRIO EM SI 1,PROGRAMAÇÃO 1,Introdução a Teoria Geral da Administração
SEMINÁRIO EM SI 2,ORGANIZAÇÃO DE COMPUTADORES E SISTEMAS,Análise de Algoritmos
TÓPICOS AVANÇADOS EM SI 1,SISTEMAS DE APOIO À DECISÃO,Oficina de Computação
INOVAÇÃO EM SI,ALGORITMOS E ESTRUTURAS DE DADOS,Sistemas Operacionais
MARKETING EMPRESARIAL,REDES DE COMPUTADORES,Estatística II
SEMINÁRIO EM SI 3,BANCO DE DADOS,Redes de Computadores I
SEMINÁRIO EM SI 4,ENGENHARIA DE SOFTWARE,Projeto de Software
TÓPICOS AVANÇADOS EM SI 3,PLANEJAMENTO E GERENCIAMENTO DE PROJETOS,Inteligência Artificial
TÓPICOS AVANÇADOS EM SI 4,GESTÃO DA INFORMAÇÃO E DO CONHECIMENTO,Construção de Compiladores
EMPREENDIMENTOS EM INFORMÁTICA,ADMINISTRAÇÃO DE BANCO DE DADOS, 
ADMINISTRAÇÃO DE SISTEMAS,PROGRAMAÇÃO 2, 
DIREITO E ÉTICA EM INFORMÁTICA,PROCESSOS DE SOFTWARE, 
SEMINÁRIO EM SI 5,PROGRAMAÇÃO 3, 
SEMINÁRIO EM SI 6,ESTRATÉGIA E PLANEJAMENTO, 
TÓPICOS AVANÇADOS EM SI 5,ENGENHARIA DE REQUISITOS, 
TÓPICOS AVANÇADOS EM SI 6,TESTE DE VALIDAÇÃO DE SOFTWARE, 
FUNDAMENTOS DE SISTEMAS DE INFORMAÇÃO,INTELIGÊNCIA ARTIFICIAL, 
SISTEMAS DE GESTÃO EMPRESARIAL, , 
GESTÃO DA PRODUÇÃO, , 
ANÁLISE DAS ORGANIZACOES, , 
GESTÃO DE PROCESSOS DE NEGÓCIO, , 
INTERAÇÃO HUMANO-COMPUTADOR, , 
TÓPICOS AVANÇADOS EM SI 2, , 
AVALIAÇÃO DE DESEMPENHO DE SISTEMAS, , 
TENDÊNCIAS E DESAFIOS EM SISTEMAS DE INFORMAÇÃO, , 
LOGÍSTICA, , 
SISTEMAS MULTIMÍDIA, , 
