ADMINISTRAÇÃO CONTEMPORÂNEA,CALCULO DIFERENCIAL E INTEGRAL 1,Algebra 1
INGLÊS PARA COMPUTAÇÃO,MATEMÁTICA DISCRETA PARA COMPUTAÇÃO,Cálculo 2
COMPORTAMENTO ORGANIZACIONAL,ESTATÍSTICA E PROBABILIDADE PARA COMPUTAÇÃO,INTRODUCAO A ALGEBRA LINEAR
CONTABILIDADE DE CUSTOS E GERENCIAL,LÓGICA PARA COMPUTAÇÃO,Lógica Computacional 1
COMUNICAÇÃO TÉCNICA E CIENTÍFICA,INTRODUÇÃO AOS SISTEMAS DE INFORMAÇÃO,Probabilidade e Estatística
ECONOMIA DAS EMPRESAS,SEMINÁRIO EM SI 1,SOFTWARE BASICO
ESTÁGIO SUPERVISIONADO,SEMINÁRIO EM SI 2,INFORMATICA E SOCIEDADE
VIABILIDADE ECONÔMICO-FINANCEIRA DE PROJETOS DE SI,PENSAMENTO SISTÊMICO,Autômatos e Computabilidade
GESTÃO DE PESSOAS E EQUIPES,DIREITO E ÉTICA EM INFORMÁTICA,ESTRUTURAS DE DADOS
GESTÃO DE PROCESSOS DE TI,PROGRAMAÇÃO 1,ORGANIZACAO E ARQUITETURA DE COMPUTADORES
INTRODUÇÃO A LIBRAS,FUNDAMENTOS DE SISTEMAS DE INFORMAÇÃO,Organização de Arquivos
TÓPICOS AVANÇADOS EM SI 1,ORGANIZAÇÃO DE COMPUTADORES E SISTEMAS,Projeto e Análise de Algoritmos
INOVAÇÃO EM SI,SISTEMAS DE APOIO À DECISÃO,SISTEMAS DE INFORMACAO
MARKETING EMPRESARIAL,ALGORITMOS E ESTRUTURAS DE DADOS,CALCULO NUMERICO
SEMINÁRIO EM SI 3,REDES DE COMPUTADORES,CIRCUITOS DIGITAIS
SEMINÁRIO EM SI 4,BANCO DE DADOS,Compiladores
TÓPICOS AVANÇADOS EM SI 3,ENGENHARIA DE SOFTWARE,INTRODUCAO A INTELIGENCIA ARTIFICIAL
TÓPICOS AVANÇADOS EM SI 4,GESTÃO DA INFORMAÇÃO E DO CONHECIMENTO,INTRODUCAO A INTELIGENCIA ARTIFICIAL
EMPREENDIMENTOS EM INFORMÁTICA,PROGRAMAÇÃO 2,Metodologia Científica
TRABALHO DE CONCLUSÃO DE CURSO EM SISTEMAS DE INFORMAÇÃO,PROCESSOS DE SOFTWARE,Programação Concorrente
ADMINISTRAÇÃO DE SISTEMAS,TÓPICOS AVANÇADOS EM SI 2,Tecnicas de Programação 1
SEMINÁRIO EM SI 5,ENGENHARIA DE REQUISITOS, 
SEMINÁRIO EM SI 6,TESTE DE VALIDAÇÃO DE SOFTWARE, 
TÓPICOS AVANÇADOS EM SI 5,INTELIGÊNCIA ARTIFICIAL, 
TÓPICOS AVANÇADOS EM SI 6,SISTEMAS MULTIMÍDIA, 
SISTEMAS DE GESTÃO EMPRESARIAL, , 
GESTÃO DA PRODUÇÃO, , 
ANÁLISE DAS ORGANIZACOES, , 
GESTÃO DE PROCESSOS DE NEGÓCIO, , 
PLANEJAMENTO E GERENCIAMENTO DE PROJETOS, , 
ADMINISTRAÇÃO DE BANCO DE DADOS, , 
INTERAÇÃO HUMANO-COMPUTADOR, , 
PROGRAMAÇÃO 3, , 
ESTRATÉGIA E PLANEJAMENTO, , 
AVALIAÇÃO DE DESEMPENHO DE SISTEMAS, , 
TENDÊNCIAS E DESAFIOS EM SISTEMAS DE INFORMAÇÃO, , 
LOGÍSTICA, , 
