MATEMÁTICA DISCRETA PARA COMPUTAÇÃO,CALCULO DIFERENCIAL E INTEGRAL 1,Cálculo I
INGLÊS PARA COMPUTAÇÃO,ESTATÍSTICA E PROBABILIDADE PARA COMPUTAÇÃO,Geometria Analítica
COMPORTAMENTO ORGANIZACIONAL,LÓGICA PARA COMPUTAÇÃO,Lógica Computacional
CONTABILIDADE DE CUSTOS E GERENCIAL,ADMINISTRAÇÃO CONTEMPORÂNEA,Álgebra Linear
ECONOMIA DAS EMPRESAS,INTRODUÇÃO AOS SISTEMAS DE INFORMAÇÃO,Cálculo IV
ESTÁGIO SUPERVISIONADO,COMUNICAÇÃO TÉCNICA E CIENTÍFICA,Dispositivos e Circuitos Eletrônicos
VIABILIDADE ECONÔMICO-FINANCEIRA DE PROJETOS DE SI,SEMINÁRIO EM SI 1,Algoritmos I
GESTÃO DE PESSOAS E EQUIPES,SEMINÁRIO EM SI 2,Algoritmos II
GESTÃO DE PROCESSOS DE TI,PENSAMENTO SISTÊMICO,Linguagem de Montagem
INTRODUÇÃO A LIBRAS,SEMINÁRIO EM SI 3,Laboratório de Circuitos Digitais
TÓPICOS AVANÇADOS EM SI 1,SEMINÁRIO EM SI 4,Teoria da Computação e Linguagens Formais
INOVAÇÃO EM SI,EMPREENDIMENTOS EM INFORMÁTICA,Sistemas Operacionais II
MARKETING EMPRESARIAL,TRABALHO DE CONCLUSÃO DE CURSO EM SISTEMAS DE INFORMAÇÃO,Circuitos Digitais
TÓPICOS AVANÇADOS EM SI 3,ADMINISTRAÇÃO DE SISTEMAS,Pesquisa Operacional I
TÓPICOS AVANÇADOS EM SI 4,DIREITO E ÉTICA EM INFORMÁTICA,Pesquisa Operacional II
TÓPICOS AVANÇADOS EM SI 5,SEMINÁRIO EM SI 5,Compiladores
TÓPICOS AVANÇADOS EM SI 6,SEMINÁRIO EM SI 6,Banco de Dados I
SISTEMAS DE GESTÃO EMPRESARIAL,PROGRAMAÇÃO 1,Microcontroladores
SISTEMAS DE APOIO À DECISÃO,FUNDAMENTOS DE SISTEMAS DE INFORMAÇÃO,Segurança em Sistemas de Informação
ANÁLISE DAS ORGANIZACOES,ORGANIZAÇÃO DE COMPUTADORES E SISTEMAS,Laboratório de Mecânica Aplicada
GESTÃO DE PROCESSOS DE NEGÓCIO,GESTÃO DA PRODUÇÃO,Sistemas Operacionais I
INTERAÇÃO HUMANO-COMPUTADOR,ALGORITMOS E ESTRUTURAS DE DADOS, 
AVALIAÇÃO DE DESEMPENHO DE SISTEMAS,REDES DE COMPUTADORES, 
LOGÍSTICA,BANCO DE DADOS, 
 ,ENGENHARIA DE SOFTWARE, 
 ,PLANEJAMENTO E GERENCIAMENTO DE PROJETOS, 
 ,GESTÃO DA INFORMAÇÃO E DO CONHECIMENTO, 
 ,ADMINISTRAÇÃO DE BANCO DE DADOS, 
 ,PROGRAMAÇÃO 2, 
 ,PROCESSOS DE SOFTWARE, 
 ,PROGRAMAÇÃO 3, 
 ,TÓPICOS AVANÇADOS EM SI 2, 
 ,ESTRATÉGIA E PLANEJAMENTO, 
 ,ENGENHARIA DE REQUISITOS, 
 ,TESTE DE VALIDAÇÃO DE SOFTWARE, 
 ,TENDÊNCIAS E DESAFIOS EM SISTEMAS DE INFORMAÇÃO, 
 ,INTELIGÊNCIA ARTIFICIAL, 
 ,SISTEMAS MULTIMÍDIA, 
