Circuitos Lógicos,Algoritmos e Estrutura de Dados I,SOFTWARE BASICO
Projetos Digitais e Microprocessadores,Algoritmos e Estruturas de Dados II,LING FORMAIS E AUTOMATOS
Introdução a Teoria Geral da Administração,Organização e Arquitetura de Computadores,SEMANTICA DE LINGUAGENS
Análise de Algoritmos,Algoritmos e Estruturas de Dados III,INTRODUCAO A PROGRAMACAO
Oficina de Computação,Software Básico,INTR INT HUMANO-COMPUTADOR
Estatística II,Algoritmos e Teoria dos Grafos,MODELAGEM DE DADOS
Redes de Computadores II,Introdução à Teoria da Computação,PROGRAMACAO MODULAR
Introdução a Álbebra,Teoria de Sistemas,ESPEC/ANAL FORMAL DE SISTEMAS
Metodologia Científica,Sistemas Operacionais,TESTE DE SOFTWARE
Matemática Discreta,Técnicas Alternativas de Programação,Mecânica Newtoniana
 ,Redes de Computadores I,LAB DE MECANICA NEWTONIANA
 ,Introdução à Computação Científica,LOGICA PARA COMPUTACAO
 ,Engenharia de Requisitos,O HUMANO E O FENOM RELIGIOSO
 ,Projeto de Software,ETICA CRISTA
 ,Inteligência Artificial,ETICA SOCIOAMBIENT DIR HUMANOS
 ,Sistemas de Bancos de Dados,CALCULO A VARIAS VARIAVEIS I
 ,Engenharia de Software,PROBABILIDADE E ESTATISTICA
 ,Construção de Compiladores,EQUACOES DIFER E DE DIFERENCAS
 ,Geometria Analítica I,ESTRUTURAS DISCRETAS
 ,Cálculo Diferencial e Integral I, 
 ,Álbebra Linear, 
 ,Cálculo Diferencial e Integral II, 
