Introdução a Álbebra,Geometria Analítica I,LÓGICA MATEMÁTICA
Metodologia Científica,Cálculo Diferencial e Integral I,PROBABILIDADE E ESTATÍSTICA
Estatística II,Álbebra Linear,INTRODUÇÃO À COMPUTAÇÃO
 ,Cálculo Diferencial e Integral II,PROGRAMAÇÃO DE COMPUTADORES 2 CN
 ,Matemática Discreta,TEORIA DOS GRAFOS
 ,Circuitos Lógicos,SISTEMAS OPERACIONAIS 1
 ,Algoritmos e Estrutura de Dados I,TEORIA DA COMPUTAÇÃO
 ,Projetos Digitais e Microprocessadores,TÓPICOS 1
 ,Algoritmos e Estruturas de Dados II,DIREITO
 ,Organização e Arquitetura de Computadores,COMPUTADOR E SOCIEDADE
 ,Algoritmos e Estruturas de Dados III,EMPREENDEDORISMO
 ,Software Básico,TÓPICOS 2
 ,Algoritmos e Teoria dos Grafos,PROGRAMAÇÃO DE COMPUTADORES 1 CN
 ,Introdução à Teoria da Computação,FÍSICA PARA COMPUTAÇÃO
 ,Introdução a Teoria Geral da Administração,PROGRAMAÇÃO ORIENTADA A OBJETOS
 ,Análise de Algoritmos,BANCO DE DADOS
 ,Teoria de Sistemas,REDES DE COMPUTADORES 2
 ,Oficina de Computação,SISTEMAS DISTRIBUÍDOS
 ,Sistemas Operacionais,PROJETO FINAL DE CURSO 1
 ,Técnicas Alternativas de Programação,MULTIMÍDIA
 ,Redes de Computadores I,PROJETO FINAL DE CURSO 2
 ,Introdução à Computação Científica, 
 ,Engenharia de Requisitos, 
 ,Redes de Computadores II, 
 ,Projeto de Software, 
 ,Inteligência Artificial, 
 ,Sistemas de Bancos de Dados, 
 ,Engenharia de Software, 
 ,Construção de Compiladores, 
