CIRCUITOS DIGITAIS,INTRODUÇÃO À ARQUITETURA DE COMPUTADORES,PROGRAMACAO II
CLASSIFICAÇÃO E PESQUISA DE DADOS,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES I,MODELAGEM DE DADOS
FUNDAMENTOS DE PROCESSAMENTO DE IMAGENS,ESTRUTURAS DE DADOS,PROGRAMACAO MODULAR
ORGANIZAÇÃO DE COMPUTADORES B,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES II,ENGENHARIA DE REQUISITOS
ENGENHARIA DE SOFTWARE N,LINGUAGENS FORMAIS E AUTÔMATOS N,PROGRAMACAO ORIENTADA OBJETOS
FUNDAMENTOS DE COMPUTAÇÃO GRÁFICA,TEORIA DA COMPUTAÇÃO N,MODELAGEM DE SOFTWARE
MODELOS DE LINGUAGEM DE PROGRAMAÇÃO,COMPLEXIDADE DE ALGORITMOS - B,ESPEC/ANAL FORMAL DE SISTEMAS
FUNDAMENTOS DE TOLERÂNCIA A FALHAS,SISTEMAS OPERACIONAIS I N,INTELIGENCIA ARTIFICIAL
TÉCNICAS DE CONSTRUÇÃO DE PROGRAMAS,ALGORÍTMOS E PROGRAMAÇÃO - CIC,TESTE DE SOFTWARE
EMPREENDIMENTO EM INFORMÁTICA,CÁLCULO NUMÉRICO A,Mecânica Newtoniana
CÁLCULO E GEOMETRIA ANALÍTICA I - A,FUNDAMENTOS DE BANCO DE DADOS,LAB DE MECANICA NEWTONIANA
FUNDAMENTOS DE ALGORITMOS,INTELIGÊNCIA ARTIFICIAL,LOGICA PARA COMPUTACAO
CÁLCULO E GEOMETRIA ANALÍTICA II - A,OTIMIZAÇÃO COMBINATÓRIA,O HUMANO E O FENOM RELIGIOSO
PROBABILIDADE E ESTATÍSTICA,COMPILADORES,ETICA CRISTA
 ,INTERAÇÃO HOMEM-COMPUTADOR,ETICA SOCIOAMBIENT DIR HUMANOS
 ,REDES DE COMPUTADORES N,CALCULO DE UMA VARIAVEL
 ,SISTEMAS OPERACIONAIS II N,CALCULO A VARIAS VARIAVEIS I
 ,MATEMÁTICA DISCRETA B,PROBABILIDADE E ESTATISTICA
 ,ÁLGEBRA LINEAR I - A,EQUACOES DIFER E DE DIFERENCAS
 ,LÓGICA PARA COMPUTAÇÃO, 
 ,TEORIA DOS GRAFOS E ANÁLISE COMBINATÓRIA, 
 ,SEMÂNTICA FORMAL N, 
