TEORIA DOS GRAFOS E ANÁLISE COMBINATÓRIA,CÁLCULO E GEOMETRIA ANALÍTICA I - A,Lógica para Computação
SEMÂNTICA FORMAL N,FUNDAMENTOS DE ALGORITMOS,Fundamentos do Raciocínio Lógico
CIRCUITOS DIGITAIS,MATEMÁTICA DISCRETA B,Matemática Concreta
CLASSIFICAÇÃO E PESQUISA DE DADOS,ÁLGEBRA LINEAR I - A,Programação Orientada a Objetos
FUNDAMENTOS DE PROCESSAMENTO DE IMAGENS,CÁLCULO E GEOMETRIA ANALÍTICA II - A,Algoritmos e Estrutura de Dados II
MODELOS DE LINGUAGEM DE PROGRAMAÇÃO,LÓGICA PARA COMPUTAÇÃO,Programação Funcional
 ,PROBABILIDADE E ESTATÍSTICA,Disciplina Integradora I (Lógica e Programação)
 ,INTRODUÇÃO À ARQUITETURA DE COMPUTADORES,Projeto e Otimização de Algoritmos
 ,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES I,Engenharia de Software Orientada a Modelos
 ,ESTRUTURAS DE DADOS,Metodologia Científica e Escrita para Computação
 ,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES II,Humanismo e Cultura Religiosa
 ,LINGUAGENS FORMAIS E AUTÔMATOS N,Ética e Filosofia da Ciência
 ,TEORIA DA COMPUTAÇÃO N,Programação de Baixo Nível
 ,COMPLEXIDADE DE ALGORITMOS - B,Modelos para Computação Concorrente
 ,SISTEMAS OPERACIONAIS I N,Disciplina Integradora II (Iniciação Científica)
 ,TÉCNICAS DE CONSTRUÇÃO DE PROGRAMAS,Disciplina Integradora III (Especificação e Construção de Sistemas)
 ,EMPREENDIMENTO EM INFORMÁTICA,Laboratório de Sistemas Operacionais
 ,ALGORÍTMOS E PROGRAMAÇÃO - CIC,Implementação de Sistemas de Bancos de Dados
 ,CÁLCULO NUMÉRICO A,Interpretação de Linguagens de Programação
 ,FUNDAMENTOS DE BANCO DE DADOS,Laboratório de Redes de Computadores
 ,ORGANIZAÇÃO DE COMPUTADORES B,Computação Paralela
 ,ENGENHARIA DE SOFTWARE N,Simulação e Métodos Analíticos
 ,FUNDAMENTOS DE COMPUTAÇÃO GRÁFICA,Redes de Computadores Avançada
 ,INTELIGÊNCIA ARTIFICIAL,Sistemas Inteligentes e Autônomos
 ,OTIMIZAÇÃO COMBINATÓRIA,Projeto e Desenvolvimento de Jogos
 ,COMPILADORES,Sistemas Distribuídos
 ,FUNDAMENTOS DE TOLERÂNCIA A FALHAS,Disciplina Integradora IV - Trabalho de Conclusão
 ,INTERAÇÃO HOMEM-COMPUTADOR, 
 ,REDES DE COMPUTADORES N, 
 ,SISTEMAS OPERACIONAIS II N, 
