FUNDAMENTOS DE ALGORITMOS,CÁLCULO E GEOMETRIA ANALÍTICA I - A,LÓGICA MATEMÁTICA
LÓGICA PARA COMPUTAÇÃO,MATEMÁTICA DISCRETA B,PROGRAMAÇÃO DE COMPUTADORES 2 CN
SEMÂNTICA FORMAL N,ÁLGEBRA LINEAR I - A,ANÁLISE E PROJETO DE ALGORITMOS
TÉCNICAS DE CONSTRUÇÃO DE PROGRAMAS,CÁLCULO E GEOMETRIA ANALÍTICA II - A,LINGUAGENS DE PROGRAMAÇÃO
FUNDAMENTOS DE PROCESSAMENTO DE IMAGENS,TEORIA DOS GRAFOS E ANÁLISE COMBINATÓRIA,SISTEMAS OPERACIONAIS 1
OTIMIZAÇÃO COMBINATÓRIA,PROBABILIDADE E ESTATÍSTICA,TÓPICOS 1
 ,INTRODUÇÃO À ARQUITETURA DE COMPUTADORES,DIREITO
 ,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES I,COMPUTADOR E SOCIEDADE
 ,ESTRUTURAS DE DADOS,TÓPICOS 2
 ,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES II,FÍSICA PARA COMPUTAÇÃO
 ,CIRCUITOS DIGITAIS,PROGRAMAÇÃO ORIENTADA A OBJETOS
 ,CLASSIFICAÇÃO E PESQUISA DE DADOS,PESQUISA OPERACIONAL
 ,LINGUAGENS FORMAIS E AUTÔMATOS N,SISTEMAS GERENCIADORES DE BD
 ,TEORIA DA COMPUTAÇÃO N,REDES DE COMPUTADORES 2
 ,COMPLEXIDADE DE ALGORITMOS - B,SISTEMAS DISTRIBUÍDOS
 ,SISTEMAS OPERACIONAIS I N,PROJETO FINAL DE CURSO 1
 ,EMPREENDIMENTO EM INFORMÁTICA,MULTIMÍDIA
 ,ALGORÍTMOS E PROGRAMAÇÃO - CIC,PROJETO FINAL DE CURSO 2
 ,CÁLCULO NUMÉRICO A,SEGURANÇA E AUDITORIA DE SISTEMAS
 ,FUNDAMENTOS DE BANCO DE DADOS, 
 ,ORGANIZAÇÃO DE COMPUTADORES B, 
 ,ENGENHARIA DE SOFTWARE N, 
 ,FUNDAMENTOS DE COMPUTAÇÃO GRÁFICA, 
 ,INTELIGÊNCIA ARTIFICIAL, 
 ,MODELOS DE LINGUAGEM DE PROGRAMAÇÃO, 
 ,COMPILADORES, 
 ,FUNDAMENTOS DE TOLERÂNCIA A FALHAS, 
 ,INTERAÇÃO HOMEM-COMPUTADOR, 
 ,REDES DE COMPUTADORES N, 
 ,SISTEMAS OPERACIONAIS II N, 
