CLASSIFICAÇÃO E PESQUISA DE DADOS,INTRODUÇÃO À ARQUITETURA DE COMPUTADORES,Projetos Digitais e Microprocessadores
SISTEMAS OPERACIONAIS I N,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES I,Algoritmos e Estruturas de Dados III
FUNDAMENTOS DE PROCESSAMENTO DE IMAGENS,ESTRUTURAS DE DADOS,Introdução a Teoria Geral da Administração
OTIMIZAÇÃO COMBINATÓRIA,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES II,Estatística II
EMPREENDIMENTO EM INFORMÁTICA,CIRCUITOS DIGITAIS,Redes de Computadores II
PROBABILIDADE E ESTATÍSTICA,LINGUAGENS FORMAIS E AUTÔMATOS N,Projeto de Software
SEMÂNTICA FORMAL N,TEORIA DA COMPUTAÇÃO N,Engenharia de Software
 ,COMPLEXIDADE DE ALGORITMOS - B,Introdução a Álbebra
 ,ALGORÍTMOS E PROGRAMAÇÃO - CIC,Metodologia Científica
 ,CÁLCULO NUMÉRICO A,Geometria Analítica I
 ,FUNDAMENTOS DE BANCO DE DADOS,Cálculo Diferencial e Integral II
 ,ORGANIZAÇÃO DE COMPUTADORES B, 
 ,ENGENHARIA DE SOFTWARE N, 
 ,FUNDAMENTOS DE COMPUTAÇÃO GRÁFICA, 
 ,INTELIGÊNCIA ARTIFICIAL, 
 ,MODELOS DE LINGUAGEM DE PROGRAMAÇÃO, 
 ,COMPILADORES, 
 ,FUNDAMENTOS DE TOLERÂNCIA A FALHAS, 
 ,INTERAÇÃO HOMEM-COMPUTADOR, 
 ,REDES DE COMPUTADORES N, 
 ,SISTEMAS OPERACIONAIS II N, 
 ,TÉCNICAS DE CONSTRUÇÃO DE PROGRAMAS, 
 ,CÁLCULO E GEOMETRIA ANALÍTICA I - A, 
 ,FUNDAMENTOS DE ALGORITMOS, 
 ,MATEMÁTICA DISCRETA B, 
 ,ÁLGEBRA LINEAR I - A, 
 ,CÁLCULO E GEOMETRIA ANALÍTICA II - A, 
 ,LÓGICA PARA COMPUTAÇÃO, 
 ,TEORIA DOS GRAFOS E ANÁLISE COMBINATÓRIA, 
