Probabilidade e Estatística,Fundamentos de Matemática Discreta para Computação,CALCULO A VARIAS VARIAVEIS I
Circuitos e Técnicas Digitais,Calculo A,PROBABILIDADE E ESTATISTICA
Sistemas Digitais,Geometria Analítica,EQUACOES DIFER E DE DIFERENCAS
Paradigmas de Programação,Cálculo B para Computação,Mecânica Newtoniana
Sistemas Multimídia,Álgebra Linear,LAB DE MECANICA NEWTONIANA
|Ciência, Tecnologia e Sociedade|,Programação Orientada a Objetos I,ESTRUTURAS DE DADOS AVANCADAS
Informática e Sociedade,Estruturas de Dados,SOFTWARE BASICO
Trabalho de Conclusão de Curso I (TCC),Organização de Computadores I,SEMANTICA DE LINGUAGENS
Trabalho de Conclusão de Curso II (TCC),Sistemas Operacionais I,LOGICA PARA COMPUTACAO
Programação Concorrente,Grafos,O HUMANO E O FENOM RELIGIOSO
Computação Gráfica,Teoria da Computação,ETICA CRISTA
Redes de Computadores II,Linguagens Formais e Compiladores,ETICA SOCIOAMBIENT DIR HUMANOS
Segurança em Computação,Banco de Dados I,INTRODUCAO A PROGRAMACAO
Banco de Dados II,Planejamento e Gestão de Projetos,INTR INT HUMANO-COMPUTADOR
 ,Introdução à Computação,MODELAGEM DE DADOS
 ,Programação Orientada a Objetos II,PROGRAMACAO MODULAR
 ,Cálculo Numérico para Computação,ENGENHARIA DE REQUISITOS
 ,Redes de Computadores I,ESPEC/ANAL FORMAL DE SISTEMAS
 ,Engenharia de Software I, 
 ,Computação Distribuída, 
 ,Engenharia de Software II, 
 ,Banco de Dados I, 
 ,Modelagem e Simulação, 
 ,Construção de Compiladores, 
 ,Inteligência Artificial, 
