Probabilidade e Estatística,Fundamentos de Matemática Discreta para Computação,CALCULO A VARIAS VARIAVEIS I
|Ciência, Tecnologia e Sociedade|,Calculo A,PROBABILIDADE E ESTATISTICA
Informática e Sociedade,Geometria Analítica,EQUACOES DIFER E DE DIFERENCAS
Trabalho de Conclusão de Curso I (TCC),Cálculo B para Computação,LOGICA PARA COMPUTACAO
Trabalho de Conclusão de Curso II (TCC),Álgebra Linear,O HUMANO E O FENOM RELIGIOSO
Circuitos e Técnicas Digitais,Planejamento e Gestão de Projetos,ETICA CRISTA
Sistemas Digitais,Programação Orientada a Objetos I,ETICA SOCIOAMBIENT DIR HUMANOS
Paradigmas de Programação,Estruturas de Dados,ESTRUTURAS DE DADOS AVANCADAS
Sistemas Multimídia,Organização de Computadores I,SOFTWARE BASICO
Programação Concorrente,Sistemas Operacionais I,SEMANTICA DE LINGUAGENS
Computação Gráfica,Grafos,INTRODUCAO A PROGRAMACAO
Redes de Computadores II,Teoria da Computação,INTR INT HUMANO-COMPUTADOR
Segurança em Computação,Linguagens Formais e Compiladores,MODELAGEM DE DADOS
Banco de Dados II,Banco de Dados I,PROGRAMACAO MODULAR
 ,Introdução à Computação,ENGENHARIA DE REQUISITOS
 ,Programação Orientada a Objetos II,ESPEC/ANAL FORMAL DE SISTEMAS
 ,Cálculo Numérico para Computação,Mecânica Newtoniana
 ,Redes de Computadores I,LAB DE MECANICA NEWTONIANA
 ,Engenharia de Software I, 
 ,Computação Distribuída, 
 ,Engenharia de Software II, 
 ,Banco de Dados I, 
 ,Modelagem e Simulação, 
 ,Construção de Compiladores, 
 ,Inteligência Artificial, 
