Circuitos e Técnicas Digitais,Fundamentos de Matemática Discreta para Computação,Lógica para Computação
Sistemas Digitais,Calculo A,Fundamentos do Raciocínio Lógico
Grafos,Probabilidade e Estatística,Introdução à Ciência da Computação
Informática e Sociedade,Geometria Analítica,Matemática Concreta
Introdução à Computação,Cálculo B para Computação,Algoritmos e Estrutura de Dados II
Cálculo Numérico para Computação,Álgebra Linear,Programação Funcional
Segurança em Computação,Programação Orientada a Objetos I,Organização e Arquitetura de Computadores II
 ,Estruturas de Dados,Disciplina Integradora I (Lógica e Programação)
 ,Organização de Computadores I,Projeto e Otimização de Algoritmos
 ,Sistemas Operacionais I,Métodos Formais para Computação
 ,Teoria da Computação,Engenharia de Software Orientada a Modelos
 ,Paradigmas de Programação,Metodologia Científica e Escrita para Computação
 ,Linguagens Formais e Compiladores,Humanismo e Cultura Religiosa
 ,Banco de Dados I,Empreendimentos Empresariais
 ,Sistemas Multimídia,Programação de Baixo Nível
 ,|Ciência, Tecnologia e Sociedade|,Métodos Numéricos
 ,Planejamento e Gestão de Projetos,Disciplina Integradora III (Especificação e Construção de Sistemas)
 ,Trabalho de Conclusão de Curso I (TCC),Laboratório de Sistemas Operacionais
 ,Trabalho de Conclusão de Curso II (TCC),Interpretação de Linguagens de Programação
 ,Programação Orientada a Objetos II,Laboratório de Redes de Computadores
 ,Programação Concorrente,Computação Paralela
 ,Redes de Computadores I,Simulação e Métodos Analíticos
 ,Engenharia de Software I,Sistemas Inteligentes e Autônomos
 ,Computação Distribuída,Projeto e Desenvolvimento de Jogos
 ,Engenharia de Software II,Disciplina Integradora IV - Trabalho de Conclusão
 ,Computação Gráfica, 
 ,Redes de Computadores II, 
 ,Banco de Dados I, 
 ,Modelagem e Simulação, 
 ,Construção de Compiladores, 
 ,Inteligência Artificial, 
 ,Banco de Dados II, 
