|Ciência, Tecnologia e Sociedade|,Fundamentos de Matemática Discreta para Computação,Análise Combinatória
Trabalho de Conclusão de Curso II (TCC),Calculo A,Equações Diferenciais
Paradigmas de Programação,Probabilidade e Estatística,Lógica Matemática
Introdução à Computação,Geometria Analítica,Administração
 ,Cálculo B para Computação,Contabilidade e Custos
 ,Álgebra Linear,Direito e Legislação
 ,Planejamento e Gestão de Projetos,Economia
 ,Informática e Sociedade,Empreendedorismo
 ,Trabalho de Conclusão de Curso I (TCC),Estágio
 ,Circuitos e Técnicas Digitais,Filosofia
 ,Programação Orientada a Objetos I,Informática na Educação
 ,Sistemas Digitais,Inglês
 ,Estruturas de Dados,Sociologia
 ,Organização de Computadores I,Psicologia
 ,Sistemas Operacionais I,Circuitos Eletrônicos
 ,Grafos,Análise de Algoritmos
 ,Teoria da Computação,Fundamentos de Sistemas
 ,Linguagens Formais e Compiladores,Circuitos Integrados
 ,Banco de Dados I,Automação e Controle
 ,Sistemas Multimídia,Métodos Formais
 ,Programação Orientada a Objetos II,Modelagem e Simulação
 ,Cálculo Numérico para Computação,Processamento Digital de Sinais
 ,Programação Concorrente,Processamento de Imagens
 ,Redes de Computadores I,Programação Paralela
 ,Engenharia de Software I,Segurança e Auditoria de Sistemas
 ,Computação Distribuída,Sistemas Digitais
 ,Engenharia de Software II,Sistemas Embarcados
 ,Computação Gráfica,Sistemas Multimídia
 ,Redes de Computadores II,Tolerância a Falhas
 ,Banco de Dados I,Telecomunicações
 ,Modelagem e Simulação,Física
 ,Construção de Compiladores, 
 ,Segurança em Computação, 
 ,Inteligência Artificial, 
 ,Banco de Dados II, 
