Paradigmas de Programação,Fundamentos de Matemática Discreta para Computação,LÓGICA MATEMÁTICA
|Ciência, Tecnologia e Sociedade|,Calculo A,PROGRAMAÇÃO DE COMPUTADORES 2 CN
Trabalho de Conclusão de Curso I (TCC),Probabilidade e Estatística,ESTRUTURAS DE DADOS I
Cálculo Numérico para Computação,Geometria Analítica,ANÁLISE E PROJETO DE ALGORITMOS
Segurança em Computação,Cálculo B para Computação,SISTEMAS OPERACIONAIS 1
 ,Álgebra Linear,TÓPICOS 1
 ,Circuitos e Técnicas Digitais,COMPUTADOR E SOCIEDADE
 ,Programação Orientada a Objetos I,EMPREENDEDORISMO
 ,Sistemas Digitais,TÓPICOS 2
 ,Estruturas de Dados,PROGRAMAÇÃO DE COMPUTADORES 1 CN
 ,Organização de Computadores I,FÍSICA PARA COMPUTAÇÃO
 ,Sistemas Operacionais I,ENGENHARIA DE SOFTWARE
 ,Grafos,REDES DE COMPUTADORES 2
 ,Teoria da Computação,PROJETO FINAL DE CURSO 2
 ,Linguagens Formais e Compiladores,SEGURANÇA E AUDITORIA DE SISTEMAS
 ,Banco de Dados I, 
 ,Sistemas Multimídia, 
 ,Planejamento e Gestão de Projetos, 
 ,Informática e Sociedade, 
 ,Trabalho de Conclusão de Curso II (TCC), 
 ,Introdução à Computação, 
 ,Programação Orientada a Objetos II, 
 ,Programação Concorrente, 
 ,Redes de Computadores I, 
 ,Engenharia de Software I, 
 ,Computação Distribuída, 
 ,Engenharia de Software II, 
 ,Computação Gráfica, 
 ,Redes de Computadores II, 
 ,Banco de Dados I, 
 ,Modelagem e Simulação, 
 ,Construção de Compiladores, 
 ,Inteligência Artificial, 
 ,Banco de Dados II, 
