|Ciência, Tecnologia e Sociedade|,Fundamentos de Matemática Discreta para Computação,Introdução a Álbebra
Informática e Sociedade,Calculo A,Metodologia Científica
Trabalho de Conclusão de Curso I (TCC),Probabilidade e Estatística,Projetos Digitais e Microprocessadores
Computação Gráfica,Geometria Analítica,Algoritmos e Estruturas de Dados II
Segurança em Computação,Cálculo B para Computação,Software Básico
Inteligência Artificial,Álgebra Linear,Introdução a Teoria Geral da Administração
Banco de Dados II,Planejamento e Gestão de Projetos,Análise de Algoritmos
 ,Trabalho de Conclusão de Curso II (TCC),Estatística II
 ,Circuitos e Técnicas Digitais,Introdução à Computação Científica
 ,Programação Orientada a Objetos I,Redes de Computadores II
 ,Sistemas Digitais,Projeto de Software
 ,Estruturas de Dados,Inteligência Artificial
 ,Organização de Computadores I, 
 ,Sistemas Operacionais I, 
 ,Grafos, 
 ,Teoria da Computação, 
 ,Paradigmas de Programação, 
 ,Linguagens Formais e Compiladores, 
 ,Banco de Dados I, 
 ,Sistemas Multimídia, 
 ,Introdução à Computação, 
 ,Programação Orientada a Objetos II, 
 ,Cálculo Numérico para Computação, 
 ,Programação Concorrente, 
 ,Redes de Computadores I, 
 ,Engenharia de Software I, 
 ,Computação Distribuída, 
 ,Engenharia de Software II, 
 ,Redes de Computadores II, 
 ,Banco de Dados I, 
 ,Modelagem e Simulação, 
 ,Construção de Compiladores, 
