|Ciência, Tecnologia e Sociedade|,Fundamentos de Matemática Discreta para Computação,FUNDAMENTOS DE ALGORITMOS
Planejamento e Gestão de Projetos,Calculo A,LÓGICA PARA COMPUTAÇÃO
Informática e Sociedade,Probabilidade e Estatística,SEMÂNTICA FORMAL N
Trabalho de Conclusão de Curso I (TCC),Geometria Analítica,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES II
Trabalho de Conclusão de Curso II (TCC),Cálculo B para Computação,CLASSIFICAÇÃO E PESQUISA DE DADOS
Programação Orientada a Objetos II,Álgebra Linear,COMPLEXIDADE DE ALGORITMOS - B
Redes de Computadores II,Circuitos e Técnicas Digitais,TÉCNICAS DE CONSTRUÇÃO DE PROGRAMAS
Modelagem e Simulação,Programação Orientada a Objetos I,EMPREENDIMENTO EM INFORMÁTICA
Segurança em Computação,Sistemas Digitais,ALGORÍTMOS E PROGRAMAÇÃO - CIC
 ,Estruturas de Dados,FUNDAMENTOS DE PROCESSAMENTO DE IMAGENS
 ,Organização de Computadores I,ORGANIZAÇÃO DE COMPUTADORES B
 ,Sistemas Operacionais I,OTIMIZAÇÃO COMBINATÓRIA
 ,Grafos,FUNDAMENTOS DE TOLERÂNCIA A FALHAS
 ,Teoria da Computação,INTERAÇÃO HOMEM-COMPUTADOR
 ,Paradigmas de Programação, 
 ,Linguagens Formais e Compiladores, 
 ,Banco de Dados I, 
 ,Sistemas Multimídia, 
 ,Introdução à Computação, 
 ,Cálculo Numérico para Computação, 
 ,Programação Concorrente, 
 ,Redes de Computadores I, 
 ,Engenharia de Software I, 
 ,Computação Distribuída, 
 ,Engenharia de Software II, 
 ,Computação Gráfica, 
 ,Banco de Dados I, 
 ,Construção de Compiladores, 
 ,Inteligência Artificial, 
 ,Banco de Dados II, 
