|Ciência, Tecnologia e Sociedade|,Fundamentos de Matemática Discreta para Computação,Cálculo II
Sistemas Digitais,Calculo A,Empreendedorismo
Grafos,Probabilidade e Estatística,Dispositivos e Circuitos Eletrônicos
Paradigmas de Programação,Geometria Analítica,Algoritmos I
Linguagens Formais e Compiladores,Cálculo B para Computação,Metodologia da Pesquisa Científica
Sistemas Multimídia,Álgebra Linear,Teoria da Computação e Linguagens Formais
Programação Concorrente,Planejamento e Gestão de Projetos,Administração de Sistemas de Informação
 ,Informática e Sociedade,Circuitos Digitais
 ,Trabalho de Conclusão de Curso I (TCC),Pesquisa Operacional II
 ,Trabalho de Conclusão de Curso II (TCC),Microcontroladores
 ,Circuitos e Técnicas Digitais,Engenharia de Software II
 ,Programação Orientada a Objetos I,Projeto e Implementação de Sistemas II
 ,Estruturas de Dados,Laboratório de Mecânica Aplicada
 ,Organização de Computadores I,Sistemas Operacionais I
 ,Sistemas Operacionais I,Projeto de Redes de Computadores
 ,Teoria da Computação, 
 ,Banco de Dados I, 
 ,Introdução à Computação, 
 ,Programação Orientada a Objetos II, 
 ,Cálculo Numérico para Computação, 
 ,Redes de Computadores I, 
 ,Engenharia de Software I, 
 ,Computação Distribuída, 
 ,Engenharia de Software II, 
 ,Computação Gráfica, 
 ,Redes de Computadores II, 
 ,Banco de Dados I, 
 ,Modelagem e Simulação, 
 ,Construção de Compiladores, 
 ,Segurança em Computação, 
 ,Inteligência Artificial, 
 ,Banco de Dados II, 
