Fundamentos Matemáticos da Informática,Data Mining,CALCULO DE UMA VARIAVEL
Probabilidade e Estatística,Organização e Arquitetura de,CALCULO A VARIAS VARIAVEIS I
Técnicas Estatísticas de Predição,Estruturas de Dados,ALGEBRA LINEAR I
Aspectos Comportamentais do Empreendedor,Sistemas Operacionais,PROBABILIDADE E ESTATISTICA
Marketing Pessoal em Informática,Introdução à Programação Orientada a Objetos,EQUACOES DIFER E DE DIFERENCAS
Introdução a Administração,Desenvolvimento de Sistemas Orientados a Objetos I,ESTRUTURAS DISCRETAS
|Organização, Sistemas e Métodos|,Análise e Projeto de Sistemas,LOGICA PARA COMPUTACAO
Geração de Idéias e Criatividade em Informática,Desenvolvimento de Sistemas Orientados a Objetos II,O HUMANO E O FENOM RELIGIOSO
Programação Econômica e Financeira,Bancos de Dados I,ETICA CRISTA
Informática e Sociedade,Engenharia de Software,ETICA SOCIOAMBIENT DIR HUMANOS
Gerência de Projetos,Redes de Computadores,PROGRAMACAO II
Teoria Geral de Sistemas,Sistemas Inteligentes,SOFTWARE BASICO
Plano de Negócios em Informática,Bancos de Dados III,LING FORMAIS E AUTOMATOS
Introdução à Informática,Introdução a Compiladores,SEMANTICA DE LINGUAGENS
|Gestão Estratégica de Tecnologia, Informação e Comunicação|,Engenharia de Usabilidade,COMPUTABILIDADE
Bancos de Dados II,Computação Distribuída,INTRODUCAO A PROGRAMACAO
Programação Paralela e Distribuída,Introdução a Projetos,PROGRAMACAO MODULAR
Administração e Gerência de Redes de Computadores, ,ENGENHARIA DE REQUISITOS
Sistemas de Informação Cliente/Servidor, ,ANALISE NUMERICA I
Data Warehouse, ,Mecânica Newtoniana
Segurança da Informação e de Redes, ,LAB DE MECANICA NEWTONIANA
Projetos I, , 
