Data Mining,Fundamentos Matemáticos da Informática,Álgebra Linear
Aspectos Comportamentais do Empreendedor,Probabilidade e Estatística,Análise Combinatória
Introdução a Administração,Técnicas Estatísticas de Predição,Cálculo Diferencial e Integral
Geração de Idéias e Criatividade em Informática,Marketing Pessoal em Informática,Equações Diferenciais
Programação Econômica e Financeira,|Organização, Sistemas e Métodos|,Geometria Analítica
Plano de Negócios em Informática,Informática e Sociedade,Lógica Matemática
Introdução à Programação Orientada a Objetos,Gerência de Projetos,Comunicação e Expressão
Desenvolvimento de Sistemas Orientados a Objetos I,Teoria Geral de Sistemas,Contabilidade e Custos
Administração e Gerência de Redes de Computadores,Organização e Arquitetura de,Direito e Legislação
Engenharia de Usabilidade,Estruturas de Dados,Economia
Data Warehouse,Sistemas Operacionais,Estágio
Segurança da Informação e de Redes,Introdução à Informática,Filosofia
Projetos I,Análise e Projeto de Sistemas,Informática na Educação
 ,Desenvolvimento de Sistemas Orientados a Objetos II,Inglês
 ,Bancos de Dados I,Sociologia
 ,|Gestão Estratégica de Tecnologia, Informação e Comunicação|,Psicologia
 ,Engenharia de Software,Circuitos Eletrônicos
 ,Redes de Computadores,Análise de Algoritmos
 ,Bancos de Dados II,Circuitos Digitais
 ,Sistemas Inteligentes,Linguagens de Programação
 ,Programação Paralela e Distribuída,Organização de Arquivos e Dados
 ,Bancos de Dados III,Teoria dos Grafos
 ,Introdução a Compiladores,Análise de Desempenho
 ,Computação Distribuída,Circuitos Integrados
 ,Sistemas de Informação Cliente/Servidor,Computação Gráfica
 ,Introdução a Projetos,Automação e Controle
 , ,Interação Humano-Computador
 , ,Matemática Computacional
 , ,Métodos Formais
 , ,Modelagem e Simulação
 , ,Processamento Digital de Sinais
 , ,Processamento de Imagens
 , ,Programação Paralela
 , ,Segurança e Auditoria de Sistemas
 , ,Sistemas Embarcados
 , ,Sistemas Multimídia
 , ,Telecomunicações
 , ,Física
