Aspectos Comportamentais do Empreendedor,Fundamentos Matemáticos da Informática,CÁLCULO 1
Marketing Pessoal em Informática,Probabilidade e Estatística,LÓGICA MATEMÁTICA
Introdução a Administração,Técnicas Estatísticas de Predição,ÁLGEBRA LINEAR
|Organização, Sistemas e Métodos|,Data Mining,CÁLCULO 2
Geração de Idéias e Criatividade em Informática,Organização e Arquitetura de,TÓPICOS 1
Programação Econômica e Financeira,Estruturas de Dados,DIREITO
Informática e Sociedade,Sistemas Operacionais,COMPUTADOR E SOCIEDADE
Gerência de Projetos,Introdução à Informática,EMPREENDEDORISMO
Teoria Geral de Sistemas,Introdução à Programação Orientada a Objetos,TÓPICOS 2
Plano de Negócios em Informática,Desenvolvimento de Sistemas Orientados a Objetos I,PROGRAMAÇÃO DE COMPUTADORES 2 CN
Data Warehouse,Análise e Projeto de Sistemas,SISTEMAS DIGITAIS
Segurança da Informação e de Redes,Desenvolvimento de Sistemas Orientados a Objetos II,TEORIA DOS GRAFOS
 ,Bancos de Dados I,ANÁLISE E PROJETO DE ALGORITMOS
 ,|Gestão Estratégica de Tecnologia, Informação e Comunicação|,ESTRUTURAS DE DADOS II
 ,Engenharia de Software,LINGUAGENS DE PROGRAMAÇÃO
 ,Redes de Computadores,LINGUAGENS FORMAIS E AUTÔMATOS
 ,Bancos de Dados II,TEORIA DA COMPUTAÇÃO
 ,Sistemas Inteligentes,PROGRAMAÇÃO DE COMPUTADORES 1 CN
 ,Programação Paralela e Distribuída,FÍSICA PARA COMPUTAÇÃO
 ,Bancos de Dados III,ENGENHARIA DE SOFTWARE
 ,Administração e Gerência de Redes de Computadores,REDES DE COMPUTADORES 2
 ,Introdução a Compiladores,COMPUTAÇÃO GRÁFICA
 ,Engenharia de Usabilidade,PROJETO FINAL DE CURSO 1
 ,Computação Distribuída,MULTIMÍDIA
 ,Sistemas de Informação Cliente/Servidor,PROJETO FINAL DE CURSO 2
 ,Introdução a Projetos,SEGURANÇA E AUDITORIA DE SISTEMAS
 ,Projetos I, 
