Técnicas Estatísticas de Predição,Fundamentos Matemáticos da Informática,CALCULO DIFERENCIAL E INTEGRAL 1
Data Mining,Probabilidade e Estatística,LOGICA PARA COMPUTACAO
Aspectos Comportamentais do Empreendedor,Programação Econômica e Financeira,INFORMATICA E SOCIEDADE
Marketing Pessoal em Informática,Gerência de Projetos,HISTORIA E FUTURO DA COMPUTACAO
Introdução a Administração,Estruturas de Dados,METODOL EXPRESSAO TEC-CIENTIFICA
|Organização, Sistemas e Métodos|,Sistemas Operacionais,ALGEBRA VET LINEAR P/COMPUTACAO
Geração de Idéias e Criatividade em Informática,Introdução à Informática,ALGORITMOS E ESTRUTURAS DE DADOS
Informática e Sociedade,Introdução à Programação Orientada a Objetos,FISICA PARA COMPUTACAO
Teoria Geral de Sistemas,Desenvolvimento de Sistemas Orientados a Objetos I,SISTEMAS DIGITAIS
Organização e Arquitetura de,Análise e Projeto de Sistemas,PARADIGMAS LING.COMPUTACIONAIS
Plano de Negócios em Informática,Desenvolvimento de Sistemas Orientados a Objetos II,INTRODUCAO A COMPUTACAO
|Gestão Estratégica de Tecnologia, Informação e Comunicação|,Bancos de Dados I,INTRODUÇÃO A MULTIMIDIA
Bancos de Dados II,Engenharia de Software,TEO.IMPLEMEN.LING. COMPUTACIONAIS
Programação Paralela e Distribuída,Redes de Computadores, 
Administração e Gerência de Redes de Computadores,Sistemas Inteligentes, 
Engenharia de Usabilidade,Bancos de Dados III, 
Computação Distribuída,Introdução a Compiladores, 
 ,Sistemas de Informação Cliente/Servidor, 
 ,Introdução a Projetos, 
 ,Data Warehouse, 
 ,Segurança da Informação e de Redes, 
 ,Projetos I, 
