Probabilidade e Estatística,Fundamentos Matemáticos da Informática,Geometria Analítica I
Técnicas Estatísticas de Predição,Introdução a Administração,Cálculo Diferencial e Integral I
Data Mining,Gerência de Projetos,Álbebra Linear
Aspectos Comportamentais do Empreendedor,Teoria Geral de Sistemas,Cálculo Diferencial e Integral II
Marketing Pessoal em Informática,Organização e Arquitetura de,Introdução a Álbebra
|Organização, Sistemas e Métodos|,Estruturas de Dados,Metodologia Científica
Geração de Idéias e Criatividade em Informática,Sistemas Operacionais,Circuitos Lógicos
Programação Econômica e Financeira,Plano de Negócios em Informática,Algoritmos e Estrutura de Dados I
Informática e Sociedade,Introdução à Informática,Projetos Digitais e Microprocessadores
|Gestão Estratégica de Tecnologia, Informação e Comunicação|,Introdução à Programação Orientada a Objetos,Algoritmos e Estruturas de Dados III
Bancos de Dados II,Desenvolvimento de Sistemas Orientados a Objetos I,Software Básico
Computação Distribuída,Análise e Projeto de Sistemas,Algoritmos e Teoria dos Grafos
Data Warehouse,Desenvolvimento de Sistemas Orientados a Objetos II,Introdução à Teoria da Computação
Segurança da Informação e de Redes,Bancos de Dados I,Análise de Algoritmos
 ,Engenharia de Software,Oficina de Computação
 ,Redes de Computadores,Estatística II
 ,Sistemas Inteligentes, 
 ,Programação Paralela e Distribuída, 
 ,Bancos de Dados III, 
 ,Administração e Gerência de Redes de Computadores, 
 ,Introdução a Compiladores, 
 ,Engenharia de Usabilidade, 
 ,Sistemas de Informação Cliente/Servidor, 
 ,Introdução a Projetos, 
 ,Projetos I, 
