Aspectos Comportamentais do Empreendedor,Fundamentos Matemáticos da Informática,CÁLCULO E GEOMETRIA ANALÍTICA I - A
Marketing Pessoal em Informática,Probabilidade e Estatística,FUNDAMENTOS DE ALGORITMOS
Introdução a Administração,Técnicas Estatísticas de Predição,ÁLGEBRA LINEAR I - A
Geração de Idéias e Criatividade em Informática,Data Mining,CÁLCULO E GEOMETRIA ANALÍTICA II - A
Programação Econômica e Financeira,|Organização, Sistemas e Métodos|,LÓGICA PARA COMPUTAÇÃO
Informática e Sociedade,Organização e Arquitetura de,TEORIA DOS GRAFOS E ANÁLISE COMBINATÓRIA
Gerência de Projetos,Estruturas de Dados,SEMÂNTICA FORMAL N
Teoria Geral de Sistemas,Sistemas Operacionais,EMPREENDIMENTO EM INFORMÁTICA
Plano de Negócios em Informática,Introdução à Informática,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES I
Introdução à Programação Orientada a Objetos,Análise e Projeto de Sistemas,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES II
Desenvolvimento de Sistemas Orientados a Objetos I,Desenvolvimento de Sistemas Orientados a Objetos II,CIRCUITOS DIGITAIS
|Gestão Estratégica de Tecnologia, Informação e Comunicação|,Bancos de Dados I,CLASSIFICAÇÃO E PESQUISA DE DADOS
Administração e Gerência de Redes de Computadores,Engenharia de Software,LINGUAGENS FORMAIS E AUTÔMATOS N
Projetos I,Redes de Computadores,TEORIA DA COMPUTAÇÃO N
 ,Bancos de Dados II,COMPLEXIDADE DE ALGORITMOS - B
 ,Sistemas Inteligentes,ALGORÍTMOS E PROGRAMAÇÃO - CIC
 ,Programação Paralela e Distribuída,CÁLCULO NUMÉRICO A
 ,Bancos de Dados III,FUNDAMENTOS DE PROCESSAMENTO DE IMAGENS
 ,Introdução a Compiladores,ORGANIZAÇÃO DE COMPUTADORES B
 ,Engenharia de Usabilidade,MODELOS DE LINGUAGEM DE PROGRAMAÇÃO
 ,Computação Distribuída,OTIMIZAÇÃO COMBINATÓRIA
 ,Sistemas de Informação Cliente/Servidor, 
 ,Introdução a Projetos, 
 ,Data Warehouse, 
 ,Segurança da Informação e de Redes, 
