Técnicas Estatísticas de Predição,Fundamentos Matemáticos da Informática,Calculo A
Aspectos Comportamentais do Empreendedor,Probabilidade e Estatística,Geometria Analítica
Marketing Pessoal em Informática,Data Mining,Cálculo B para Computação
|Organização, Sistemas e Métodos|,Introdução a Administração,Álgebra Linear
Geração de Idéias e Criatividade em Informática,Informática e Sociedade,Informática e Sociedade
Programação Econômica e Financeira,Gerência de Projetos,Trabalho de Conclusão de Curso II (TCC)
Organização e Arquitetura de,Teoria Geral de Sistemas,Circuitos e Técnicas Digitais
Plano de Negócios em Informática,Estruturas de Dados,Programação Orientada a Objetos I
Engenharia de Usabilidade,Sistemas Operacionais,Sistemas Digitais
Data Warehouse,Introdução à Informática,Organização de Computadores I
 ,Introdução à Programação Orientada a Objetos,Grafos
 ,Desenvolvimento de Sistemas Orientados a Objetos I,Teoria da Computação
 ,Análise e Projeto de Sistemas,Paradigmas de Programação
 ,Desenvolvimento de Sistemas Orientados a Objetos II,Linguagens Formais e Compiladores
 ,Bancos de Dados I,Banco de Dados I
 ,|Gestão Estratégica de Tecnologia, Informação e Comunicação|,Sistemas Multimídia
 ,Engenharia de Software,Cálculo Numérico para Computação
 ,Redes de Computadores,Programação Concorrente
 ,Bancos de Dados II,Redes de Computadores I
 ,Sistemas Inteligentes,Computação Gráfica
 ,Programação Paralela e Distribuída,Redes de Computadores II
 ,Bancos de Dados III, 
 ,Administração e Gerência de Redes de Computadores, 
 ,Introdução a Compiladores, 
 ,Computação Distribuída, 
 ,Sistemas de Informação Cliente/Servidor, 
 ,Introdução a Projetos, 
 ,Segurança da Informação e de Redes, 
 ,Projetos I, 
