Técnicas Estatísticas de Predição,Fundamentos Matemáticos da Informática,Algebra 1
Data Mining,Probabilidade e Estatística,Cálculo 1
Aspectos Comportamentais do Empreendedor,Informática e Sociedade,Cálculo 2
Marketing Pessoal em Informática,Organização e Arquitetura de,INTRODUCAO A ALGEBRA LINEAR
Introdução a Administração,Estruturas de Dados,Lógica Computacional 1
|Organização, Sistemas e Métodos|,Sistemas Operacionais,SOFTWARE BASICO
Geração de Idéias e Criatividade em Informática,Introdução à Informática,Computação Experimental
Programação Econômica e Financeira,Desenvolvimento de Sistemas Orientados a Objetos I,Trabalho de Graduação 1
Gerência de Projetos,Desenvolvimento de Sistemas Orientados a Objetos II,Trabalho de Graduação 2
Teoria Geral de Sistemas,Bancos de Dados I,Autômatos e Computabilidade
Plano de Negócios em Informática,Engenharia de Software,LINGUAGENS DE PROGRAMACAO
Introdução à Programação Orientada a Objetos,Redes de Computadores,Organização de Arquivos
Análise e Projeto de Sistemas,Sistemas Inteligentes,Projeto e Análise de Algoritmos
|Gestão Estratégica de Tecnologia, Informação e Comunicação|,Bancos de Dados III,SISTEMAS DE INFORMACAO
Bancos de Dados II,Introdução a Compiladores,Teoria e Aplicação de Grafos
Programação Paralela e Distribuída,Computação Distribuída,Algoritmos e Programação de Computadores
Administração e Gerência de Redes de Computadores,Introdução a Projetos,CALCULO NUMERICO
Engenharia de Usabilidade, ,CIRCUITOS DIGITAIS
Sistemas de Informação Cliente/Servidor, ,INTRODUCAO A INTELIGENCIA ARTIFICIAL
Data Warehouse, ,Metodologia Científica
Segurança da Informação e de Redes, ,Segurança Computacional
Projetos I, ,Tecnicas de Programação 1
 , ,Tecnicas de Programação 2
