Data Mining,Fundamentos Matemáticos da Informática,Cálculo I
Aspectos Comportamentais do Empreendedor,Probabilidade e Estatística,Geometria Analítica
Marketing Pessoal em Informática,Técnicas Estatísticas de Predição,Cálculo II
Introdução a Administração,Organização e Arquitetura de,Álgebra Linear
|Organização, Sistemas e Métodos|,Estruturas de Dados,Cálculo IV
Geração de Idéias e Criatividade em Informática,Sistemas Operacionais,|Direito, Legislação e Ética|
Programação Econômica e Financeira,Introdução à Informática,Empreendedorismo
Informática e Sociedade,Introdução à Programação Orientada a Objetos,Dispositivos e Circuitos Eletrônicos
Gerência de Projetos,Desenvolvimento de Sistemas Orientados a Objetos I,Algoritmos I
Teoria Geral de Sistemas,Análise e Projeto de Sistemas,Linguagem de Montagem
Plano de Negócios em Informática,Desenvolvimento de Sistemas Orientados a Objetos II,Laboratório de Circuitos Digitais
Programação Paralela e Distribuída,Bancos de Dados I,Teoria da Computação e Linguagens Formais
Engenharia de Usabilidade,|Gestão Estratégica de Tecnologia, Informação e Comunicação|,Administração de Sistemas de Informação
 ,Engenharia de Software,Circuitos Digitais
 ,Redes de Computadores,Pesquisa Operacional I
 ,Bancos de Dados II,Pesquisa Operacional II
 ,Sistemas Inteligentes,Computação Gráfica
 ,Bancos de Dados III,Projeto e Implementação de Sistemas II
 ,Administração e Gerência de Redes de Computadores,Laboratório de Mecânica Aplicada
 ,Introdução a Compiladores,Sistemas Operacionais I
 ,Computação Distribuída,Projeto de Redes de Computadores
 ,Sistemas de Informação Cliente/Servidor, 
 ,Introdução a Projetos, 
 ,Data Warehouse, 
 ,Segurança da Informação e de Redes, 
 ,Projetos I, 
