Algebra 1,Cálculo 1,Geometria Analítica
Lógica Computacional 1,Cálculo 2,Cálculo II
SOFTWARE BASICO,Fundamentos Teóricos da Computação,Cálculo III
Organização de Arquivos,INTRODUCAO A ALGEBRA LINEAR,Física Básica I
Computação Experimental,Probabilidade e Estatística,Laboratório de Física Geral I
INFORMATICA E SOCIEDADE,Autômatos e Computabilidade,Prática em Lógica Digital
Trabalho de Graduação 1,ESTRUTURAS DE DADOS,Introdução à Lógica Digital
Trabalho de Graduação 2,Fundamentos de Sistemas Operacionais,Eletrônica para Computação
BANCOS DE DADOS,Introdução aos Sistemas Computacionais,Introdução à Ciência de Computação II
CALCULO NUMERICO,LINGUAGENS DE PROGRAMACAO,Sistemas Digitais
Compiladores,ORGANIZACAO E ARQUITETURA DE COMPUTADORES,Organização de Arquivos
Metodologia Científica,Projeto e Análise de Algoritmos,Programação Orientada a Objetos
Redes de Computadores,SISTEMAS DE INFORMACAO,Algoritmos Avançados e Aplicações
Segurança Computacional,Teoria e Aplicação de Grafos,Sistemas Operacionais I
Tecnicas de Programação 1,Algoritmos e Programação de Computadores,Informação Profissional em Ciências da Computação
Tecnicas de Programação 2,CIRCUITOS DIGITAIS,Evolução Histórica da Computação e Aplicações
 ,ENGENHARIA DE SOFTWARE,Computadores e Sociedade I
 ,INTRODUCAO A INTELIGENCIA ARTIFICIAL,Projeto Supervisionado I
 ,INTRODUCAO A INTELIGENCIA ARTIFICIAL,Projeto Supervisionado II
 ,Programação Concorrente,Organização de Computadores Digitais I
 , ,Computação Gráfica
 , ,Cálculo Numérico
 , ,Processos Estocásticos
 , ,Redes de Computadores
 , ,Introdução ao Desenvolvimento Web
