Algebra 1,Cálculo 1,CALCULO A VARIAS VARIAVEIS I
Probabilidade e Estatística,Cálculo 2,PROBABILIDADE E ESTATISTICA
SOFTWARE BASICO,Fundamentos Teóricos da Computação,Mecânica Newtoniana
Organização de Arquivos,INTRODUCAO A ALGEBRA LINEAR,LAB DE MECANICA NEWTONIANA
Computação Experimental,Lógica Computacional 1,PROGRAMACAO II
INFORMATICA E SOCIEDADE,Autômatos e Computabilidade,SOFTWARE BASICO
Trabalho de Graduação 1,ESTRUTURAS DE DADOS,SISTEMAS DE COMPUTACAO
Trabalho de Graduação 2,Fundamentos de Sistemas Operacionais,SEMANTICA DE LINGUAGENS
CALCULO NUMERICO,Introdução aos Sistemas Computacionais,COMPUTABILIDADE
CIRCUITOS DIGITAIS,LINGUAGENS DE PROGRAMACAO,LOGICA PARA COMPUTACAO
Metodologia Científica,ORGANIZACAO E ARQUITETURA DE COMPUTADORES,O HUMANO E O FENOM RELIGIOSO
Programação Concorrente,Projeto e Análise de Algoritmos,ETICA CRISTA
Segurança Computacional,SISTEMAS DE INFORMACAO,ETICA SOCIOAMBIENT DIR HUMANOS
Tecnicas de Programação 1,Teoria e Aplicação de Grafos,PROGRAMACAO MODULAR
Tecnicas de Programação 2,Algoritmos e Programação de Computadores,BANCOS DE DADOS
 ,BANCOS DE DADOS,ENGENHARIA DE REQUISITOS
 ,Compiladores,ANALISE NUMERICA I
 ,ENGENHARIA DE SOFTWARE,MODELAGEM DE SOFTWARE
 ,INTRODUCAO A INTELIGENCIA ARTIFICIAL,ESPEC/ANAL FORMAL DE SISTEMAS
 ,INTRODUCAO A INTELIGENCIA ARTIFICIAL,TESTE DE SOFTWARE
 ,Redes de Computadores, 
