Algebra 1,Cálculo 1,Probabilidade e Estatística para Computação
Probabilidade e Estatística,Cálculo 2,Fundamentos do Raciocínio Lógico
SOFTWARE BASICO,Fundamentos Teóricos da Computação,Matemática Concreta
Organização de Arquivos,INTRODUCAO A ALGEBRA LINEAR,Programação Orientada a Objetos
Computação Experimental,Lógica Computacional 1,Algoritmos e Estrutura de Dados II
Trabalho de Graduação 1,Autômatos e Computabilidade,Organização e Arquitetura de Computadores I
Trabalho de Graduação 2,ESTRUTURAS DE DADOS,Teoria da Computabilidade e Complexidade
CALCULO NUMERICO,Fundamentos de Sistemas Operacionais,Organização e Arquitetura de Computadores II
CIRCUITOS DIGITAIS,Introdução aos Sistemas Computacionais,Disciplina Integradora I (Lógica e Programação)
Compiladores,LINGUAGENS DE PROGRAMACAO,Sistemas Operacionais
Segurança Computacional,ORGANIZACAO E ARQUITETURA DE COMPUTADORES,Projeto e Otimização de Algoritmos
Tecnicas de Programação 1,Projeto e Análise de Algoritmos,Engenharia de Software Orientada a Modelos
Tecnicas de Programação 2,SISTEMAS DE INFORMACAO,Metodologia Científica e Escrita para Computação
 ,Teoria e Aplicação de Grafos,Humanismo e Cultura Religiosa
 ,INFORMATICA E SOCIEDADE,Empreendimentos Empresariais
 ,Algoritmos e Programação de Computadores,Ética e Filosofia da Ciência
 ,BANCOS DE DADOS,Programação de Baixo Nível
 ,ENGENHARIA DE SOFTWARE,Técnicas de Programação
 ,INTRODUCAO A INTELIGENCIA ARTIFICIAL,Modelos para Computação Concorrente
 ,INTRODUCAO A INTELIGENCIA ARTIFICIAL,Fundamentos de Computação Gráfica
 ,Metodologia Científica,Métodos Numéricos
 ,Programação Concorrente,Disciplina Integradora III (Especificação e Construção de Sistemas)
 ,Redes de Computadores,Implementação de Sistemas de Bancos de Dados
 , ,Interpretação de Linguagens de Programação
 , ,Laboratório de Redes de Computadores
 , ,Computação Paralela
 , ,Construção de Compiladores
 , ,Simulação e Métodos Analíticos
 , ,Redes de Computadores Avançada
 , ,Sistemas Inteligentes e Autônomos
 , ,Projeto e Desenvolvimento de Jogos
 , ,Sistemas Distribuídos
 , ,Disciplina Integradora IV - Trabalho de Conclusão
