Algebra 1,Cálculo 1,CÁLCULO 2
SOFTWARE BASICO,Cálculo 2,PROGRAMAÇÃO DE COMPUTADORES 2 CN
Organização de Arquivos,Fundamentos Teóricos da Computação,ANÁLISE E PROJETO DE ALGORITMOS
INFORMATICA E SOCIEDADE,INTRODUCAO A ALGEBRA LINEAR,ESTRUTURAS DE DADOS II
Metodologia Científica,Lógica Computacional 1,DIREITO
Segurança Computacional,Probabilidade e Estatística,COMPUTADOR E SOCIEDADE
 ,Autômatos e Computabilidade,EMPREENDEDORISMO
 ,ESTRUTURAS DE DADOS,FÍSICA PARA COMPUTAÇÃO
 ,Fundamentos de Sistemas Operacionais,PROGRAMAÇÃO ORIENTADA A OBJETOS
 ,Introdução aos Sistemas Computacionais,PESQUISA OPERACIONAL
 ,LINGUAGENS DE PROGRAMACAO,ENGENHARIA DE SOFTWARE
 ,ORGANIZACAO E ARQUITETURA DE COMPUTADORES,SISTEMAS GERENCIADORES DE BD
 ,Projeto e Análise de Algoritmos,REDES DE COMPUTADORES 2
 ,SISTEMAS DE INFORMACAO,SISTEMAS DISTRIBUÍDOS
 ,Teoria e Aplicação de Grafos,COMPUTAÇÃO GRÁFICA
 ,Computação Experimental,PROJETO FINAL DE CURSO 1
 ,Trabalho de Graduação 1,MULTIMÍDIA
 ,Trabalho de Graduação 2,PROJETO FINAL DE CURSO 2
 ,Algoritmos e Programação de Computadores,SEGURANÇA E AUDITORIA DE SISTEMAS
 ,BANCOS DE DADOS, 
 ,CALCULO NUMERICO, 
 ,CIRCUITOS DIGITAIS, 
 ,Compiladores, 
 ,ENGENHARIA DE SOFTWARE, 
 ,INTRODUCAO A INTELIGENCIA ARTIFICIAL, 
 ,INTRODUCAO A INTELIGENCIA ARTIFICIAL, 
 ,Programação Concorrente, 
 ,Redes de Computadores, 
 ,Tecnicas de Programação 1, 
 ,Tecnicas de Programação 2, 
