Cálculo 2,Algebra 1,LOGICA PARA COMPUTACAO
Lógica Computacional 1,Cálculo 1,FISICA PARA COMPUTACAO
SOFTWARE BASICO,Fundamentos Teóricos da Computação,INFRA-ESTRUTURA DE SOFTWARE
Autômatos e Computabilidade,INTRODUCAO A ALGEBRA LINEAR,PARADIGMAS LING.COMPUTACIONAIS
Organização de Arquivos,Probabilidade e Estatística,INGLES PARA COMPUTACAO
SISTEMAS DE INFORMACAO,ESTRUTURAS DE DADOS,HISTORIA E FUTURO DA COMPUTACAO
Teoria e Aplicação de Grafos,Fundamentos de Sistemas Operacionais,METODOL EXPRESSAO TEC-CIENTIFICA
Trabalho de Graduação 1,Introdução aos Sistemas Computacionais,INTRODUCAO A COMPUTACAO
Trabalho de Graduação 2,LINGUAGENS DE PROGRAMACAO,INTRODUÇÃO A MULTIMIDIA
BANCOS DE DADOS,ORGANIZACAO E ARQUITETURA DE COMPUTADORES,PROJETO DE DESENVOLVIMENTO
CALCULO NUMERICO,Projeto e Análise de Algoritmos,TEO.IMPLEMEN.LING. COMPUTACIONAIS
Compiladores,Computação Experimental, 
Metodologia Científica,INFORMATICA E SOCIEDADE, 
 ,Algoritmos e Programação de Computadores, 
 ,CIRCUITOS DIGITAIS, 
 ,ENGENHARIA DE SOFTWARE, 
 ,INTRODUCAO A INTELIGENCIA ARTIFICIAL, 
 ,INTRODUCAO A INTELIGENCIA ARTIFICIAL, 
 ,Programação Concorrente, 
 ,Redes de Computadores, 
 ,Segurança Computacional, 
 ,Tecnicas de Programação 1, 
 ,Tecnicas de Programação 2, 
