Algebra 1,Cálculo 1,CÁLCULO E GEOMETRIA ANALÍTICA II - A
Lógica Computacional 1,Cálculo 2,LÓGICA PARA COMPUTAÇÃO
Organização de Arquivos,Fundamentos Teóricos da Computação,SEMÂNTICA FORMAL N
Computação Experimental,INTRODUCAO A ALGEBRA LINEAR,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES I
Trabalho de Graduação 1,Probabilidade e Estatística,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES II
Trabalho de Graduação 2,SOFTWARE BASICO,CIRCUITOS DIGITAIS
CIRCUITOS DIGITAIS,Autômatos e Computabilidade,CLASSIFICAÇÃO E PESQUISA DE DADOS
Metodologia Científica,ESTRUTURAS DE DADOS,TEORIA DA COMPUTAÇÃO N
Segurança Computacional,Fundamentos de Sistemas Operacionais,TÉCNICAS DE CONSTRUÇÃO DE PROGRAMAS
 ,Introdução aos Sistemas Computacionais,EMPREENDIMENTO EM INFORMÁTICA
 ,LINGUAGENS DE PROGRAMACAO,ALGORÍTMOS E PROGRAMAÇÃO - CIC
 ,ORGANIZACAO E ARQUITETURA DE COMPUTADORES,FUNDAMENTOS DE PROCESSAMENTO DE IMAGENS
 ,Projeto e Análise de Algoritmos,ORGANIZAÇÃO DE COMPUTADORES B
 ,SISTEMAS DE INFORMACAO,ENGENHARIA DE SOFTWARE N
 ,Teoria e Aplicação de Grafos,FUNDAMENTOS DE COMPUTAÇÃO GRÁFICA
 ,INFORMATICA E SOCIEDADE,OTIMIZAÇÃO COMBINATÓRIA
 ,Algoritmos e Programação de Computadores,FUNDAMENTOS DE TOLERÂNCIA A FALHAS
 ,BANCOS DE DADOS, 
 ,CALCULO NUMERICO, 
 ,Compiladores, 
 ,ENGENHARIA DE SOFTWARE, 
 ,INTRODUCAO A INTELIGENCIA ARTIFICIAL, 
 ,INTRODUCAO A INTELIGENCIA ARTIFICIAL, 
 ,Programação Concorrente, 
 ,Redes de Computadores, 
 ,Tecnicas de Programação 1, 
 ,Tecnicas de Programação 2, 
